DATE_ID,LOCATION,VISIT_CLASS_ID,UNIQUE_USERS
20230212,m_15159,Abitante abituale,10458
20230213,m_15154,Pernottante,1372
20230213,m_15154,Visitatore,7045
20230213,m_15154,Abitante abituale,11407
20230214,m_15027,Pernottante,4006
20230214,m_15027,Visitatore,15479
20230214,m_15027,Abitante abituale,27402
20230215,m_15185,Pernottante,484
20230215,m_15185,Visitatore,1954
20230215,m_15185,Abitante abituale,3675
20230216,a_15146_3,Pernottante,15696
20230216,a_15146_3,Abitante abituale,17999
20230216,a_15146_3,Visitatore,58177
20230217,a_15146_41,Pernottante,3588
20230217,a_15146_41,Abitante abituale,13295
20230217,a_15146_41,Visitatore,13629
20230220,a_15146_55,Pernottante,5017
20230220,a_15146_55,Abitante abituale,16094
20230220,a_15146_55,Visitatore,22827
20230220,m_15139,Visitatore,5320
20230221,a_15146_14,Pernottante,6916
20230221,a_15146_14,Abitante abituale,14929
20230221,a_15146_14,Visitatore,18798
20230221,a_15146_18,Pernottante,4589
20230221,a_15146_18,Abitante abituale,15040
20230221,a_15146_18,Visitatore,15450
20230222,a_15146_62,Pernottante,4143
20230222,a_15146_62,Abitante abituale,11131
20230222,a_15146_62,Visitatore,28459
20230222,m_15206,Pernottante,1283
20230222,m_15206,Visitatore,10298
20230222,m_15206,Abitante abituale,13026
20230223,a_15146_37,Pernottante,3621
20230223,a_15146_37,Visitatore,16040
20230223,a_15146_37,Abitante abituale,16979
20230223,a_15146_60,Pernottante,7147
20230223,a_15146_60,Abitante abituale,16992
20230223,a_15146_60,Visitatore,26058
20230224,a_15146_13,Pernottante,6833
20230224,a_15146_13,Abitante abituale,12782
20230224,a_15146_13,Visitatore,23796
20230224,a_15146_55,Pernottante,5665
20230224,a_15146_55,Abitante abituale,14939
20230224,a_15146_55,Visitatore,19397
20230224,m_15059,Pernottante,2200
20230224,m_15059,Visitatore,11327
20230224,m_15059,Abitante abituale,19161
20230225,m_15222,Pernottante,479
20230225,m_15222,Abitante abituale,1971
20230225,m_15222,Visitatore,3186
20230225,m_15247,Pernottante,1045
20230225,m_15247,Visitatore,4365
20230225,m_15247,Abitante abituale,4662
20230227,a_15146_69,Pernottante,4669
20230227,a_15146_69,Abitante abituale,16647
20230227,a_15146_69,Visitatore,25226
20230303,m_15105,Pernottante,4556
20230303,m_15105,Visitatore,16941
