categoria,data_fine,data_inizio,indirizzo,luogo,titolo,url,macro_categoria,geocoded_address,lat,long
Spettacoli,07-01-24,2024-01-07,"Corso di Porta Romana 63,20122, Milano, MI,Italia",Carcano,Pippi Calzelunghe - Il Musical,https://www.teatro.it/spettacoli/milano/carcano/2023-2024/pippi-calzelunghe-il-musical,Teatro e spettacolo,"Teatro Carcano, 63, Corso di Porta Romana, Crocetta, Municipio 1, Milano, Lombardia, 20121, Italia",45.4566842,9.1955297
Spettacoli,07-01-24,2024-01-07,"via Granelli 1,20099, Sesto San Giovanni, MI,Italia",Carroponte,La Magia del Natale,https://www.teatro.it/spettacoli/sesto-san-giovanni/carroponte/2023-2024/la-magia-del-natale,Teatro e spettacolo,"Carroponte, 1, Via Luigi Granelli, Rondò, Torretta, Sesto San Giovanni, Zona Omogenea Milano Nord, Milano, Lombardia, 20099, Italia",45.529574,9.2209217
Spettacoli,07-01-24,2024-01-07,"Piazzale Carlo Magno,1/Gate 16,20149, Milano, MI,Italia",ALLIANZ MiCo,A Christmas Magic,https://www.teatro.it/spettacoli/milano/allianz-mico/2023-2024/a-christmas-magic,Teatro e spettacolo,"20149, Italy",45.4643,9.1895
Spettacoli,07-01-24,2024-01-07,"Via Alessandro Manzoni 42,20121, Milano, MI,Italia",Manzoni,Festival della Magia,https://www.teatro.it/spettacoli/milano/manzoni/2023-2024/festival-della-magia,Teatro e spettacolo,"Teatro Manzoni, 42, Via Alessandro Manzoni, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710286,9.1944762
Spettacoli,08-01-24,2024-01-08,"Via Larga 14,20122, Milano, MI,Italia",Lirico Giorgio Gaber,Shakespeare in Rock - Il Musical,https://www.teatro.it/spettacoli/milano/lirico-giorgio-gaber/2023-2024/shakespeare-in-rock-il-musical,Teatro e spettacolo,"Teatro Lirico Giorgio Gaber, 14, Via Larga, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20122, Italia",45.4615135,9.1918702
Spettacoli,09-01-24,2024-01-09,"Via Alessandro Manzoni 42,20121, Milano, MI,Italia",Manzoni,Homo modernus,https://www.teatro.it/spettacoli/milano/manzoni/2023-2024/homo-modernus,Teatro e spettacolo,"Teatro Manzoni, 42, Via Alessandro Manzoni, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710286,9.1944762
Spettacoli,09-01-24,2024-01-09,"Via G. di Vittorio 6,20090, Assago, MI,Italia",Repower,Non è un concerto,https://www.teatro.it/spettacoli/assago/repower/2023-2024/pietro-morello-non-e-un-concerto,Teatro e spettacolo,"20090, Italy",45.407,9.1083
Teatri,09-01-24,2024-01-09,"Via Alessandro Manzoni, 42, Milano, MI",Teatro Manzoni,Leonardo Manera a teatro a Milano. Orari e biglietti,https://www.milanotoday.it/eventi/spettacolo-leonardo-manera-teatro-manzoni.html,Teatro e spettacolo,"Teatro Manzoni, 42, Via Alessandro Manzoni, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710286,9.1944762
,10-01-24,2024-01-10,"Galleria Vittorio Emanuele II, 12, Milano, MI",Libreria Bocca,Alla libreria Bocca il libro su Milano di Argirò,https://www.milanotoday.it/eventi/alla-libreria-bocca-il-libro-su-milano-di-argiro-con-la-prefazione-di-monina-e-la-copertina-di-cherchi-mico-argiro.html,Non classificato,"Libreria Bocca, 12, Galleria Vittorio Emanuele Secondo, Duomo, Municipio 1, Milano, Lombardia, 20121, Italia",45.4651429,9.1901652
Spettacoli,10-01-24,2024-01-10,"piazza Carlo Alberto dalla Chiesa 4,20020, Arese, MI,Italia",Cinema Teatro Arese,Smanie per la villeggiatura,https://www.teatro.it/spettacoli/arese/cinema-teatro-arese/2023-2024/smanie-per-la-villeggiatura,Teatro e spettacolo,"Cinema Teatro Arese, 4, Piazza Generale Carlo Alberto Dalla Chiesa, Sant'Anna, Arese, Milano, Lombardia, 20044, Italia",45.549694,9.0777685
,11-01-24,2024-01-10,"Via Orcagna, 2, Milano, MI",Spazio Teatro No'hma,"XV edizione premio internazionale stagione 2023/2024 ""Il teatro nudo""",https://www.milanotoday.it/eventi/mercoledi-10-e-giovedi-11-gennaio-2024-ore-21-xv-edizione-premio-internazionale-stagione-2023-2024-in-viaggio-secondo-paese-partecipante-danimarca-spettacolo-skattegraveren-il-cercatore-di-tesori-un-opera-documentario-di-mauro-patricelli.html,Non classificato,"2, Via Andrea Orcagna, Città Studi, Municipio 3, Milano, Lombardia, 20131, Italia",45.4812196,9.2281055
Spettacoli,11-01-24,2024-01-11,"Via Alessandro Manzoni 42,20121, Milano, MI,Italia",Manzoni,PANPERS - Bodyscemi,https://www.teatro.it/spettacoli/milano/manzoni/2023-2024/panpers-bodyscemi,Teatro e spettacolo,"Teatro Manzoni, 42, Via Alessandro Manzoni, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710286,9.1944762
Spettacoli,11-01-24,2024-01-11,"v. Mons. Pogliani 7/a,ang. via Grandi,20090, Cesano Boscone, MI,Italia",Cristallo,Uomo e galantuomo,https://www.teatro.it/spettacoli/cesano-boscone/cristallo/2023-2024/uomo-e-galantuomo,Teatro e spettacolo,"20090, Italy",45.407,9.1083
Incontro/presentazione,11-01-24,2024-01-11,"via Brera, 28, Milano, MI",Pinacoteca di Brera - Biblioteca Nazionale Braidense di Milano,Printing and Misprinting,,Formazione e networking,"Pinacoteca di Brera, 28, Via Brera, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4722421,9.1884071
Spettacoli,11-01-24,2024-01-11,"p.zza IV Novembre 3,20025, Legnano, MI,Italia",Talisio Tirinnanzi,Paradiso XXXIII,https://www.teatro.it/spettacoli/legnano/talisio-tirinnanzi/2023-2024/elio-germano-paradiso-xxxiii,Teatro e spettacolo,"Scuola Secondaria di Primo Grado Giovanni Ungaretti, 3, Piazza Quattro Novembre, San Giorgio su Legnano, Milano, Lombardia, 20034, Italia",45.5765251,8.9157963
Spettacoli,11-01-24,2024-01-11,"Corso di Porta Romana 63,20122, Milano, MI,Italia",Carcano,De Andrè - La Storia,https://www.teatro.it/spettacoli/milano/carcano/2023-2024/de-andre-la-storia,Teatro e spettacolo,"Teatro Carcano, 63, Corso di Porta Romana, Crocetta, Municipio 1, Milano, Lombardia, 20121, Italia",45.4566842,9.1955297
,31-01-24,2024-01-11,"Via Cesare Balbo, 36, Milano, MI",Zinc Bar,Cristiano Grim at Zinc Bar Milano,https://www.milanotoday.it/eventi/cristiano-grim-zinc-bar-milano-cristiano-grim.html,Non classificato,"Via Cesare Balbo, Vigentina, Municipio 5, Milano, Lombardia, 20136, Italia",45.4467076,9.1960763
Spettacoli,11-01-24,2024-01-11,"Via Larga 14,20122, Milano, MI,Italia",Lirico Giorgio Gaber,Tour 2025,https://www.teatro.it/spettacoli/milano/lirico-giorgio-gaber/2023-2024/drupi,Teatro e spettacolo,"Teatro Lirico Giorgio Gaber, 14, Via Larga, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20122, Italia",45.4615135,9.1918702
,13-01-24,2024-01-12,"De Amicis, 17, Milano, MI","Spazio ""EL SALVADANEE""",Omaggio a Fabrizio De Andrè,https://www.milanotoday.it/eventi/omaggio-a-fabrizio-de-andre-12-gennaio-2023-henry-s-blues-duo-marinella-e-angelo-roda-alessio-lega-e-guido-baldoni.html,Non classificato,"Antiquarium Alda Levi, 17, Via Edmondo De Amicis, Ticinese, Municipio 1, Milano, Lombardia, 20123, Italia",45.4577507,9.1796498
Spettacoli,12-01-24,2024-01-12,"Corso Buenos Aires 33,20124, Milano, MI,Italia",Elfo Puccini - sala Shakespeare,L'importanza di chiamarsi Ernesto,https://www.teatro.it/spettacoli/milano/elfo-puccini-sala-shakespeare/2023-2024/limportanza-di-chiamarsi-ernesto,Teatro e spettacolo,"Teatro Elfo Puccini, 33, Corso Buenos Aires, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20124, Italia",45.4794317,9.2098387
Spettacoli,12-01-24,2024-01-12,"v. Matteotti 30,20064, Gorgonzola, MI,Italia",Sala Argentia,Canto Libero - Omaggio alle canzoni di Battisti e Mogol,https://www.teatro.it/spettacoli/gorgonzola/sala-argentia/2023-2024/canto-libero-omaggio-alle-canzoni-di-battisti-e-mogol,Teatro e spettacolo,"Sala Argentia, 30, Via Giacomo Matteotti, Gorgonzola, Milano, Lombardia, 20064, Italia",45.5327792,9.4032916
Inaugurazioni,31-12-24,2024-01-12,"Piazza Napoli, 22, Milano, MI",The Prism,A Milano apre uno spazio dedicato alla meditazione,https://www.milanotoday.it/eventi/spazio-the-prism-meditazione.html,Inaugurazioni,"22, Piazza Napoli, Lorenteggio, Municipio 6, Milano, Lombardia, 20146, Italia",45.4537969,9.1523093
Spettacoli,12-01-24,2024-01-12,"Piazza S. Magno,20025, Legnano, MI,Italia",Galleria,Red Sox,https://www.teatro.it/spettacoli/legnano/galleria/2023-2024/luca-ravenna-red-sox,Teatro e spettacolo,"Piazza San Magno, San Magno, Oltresempione, Legnano, Milano, Lombardia, 20025, Italia",45.5945411,8.9179889
Spettacoli,12-01-24,2024-01-12,"p.zza IV Novembre 3,20025, Legnano, MI,Italia",Talisio Tirinnanzi,Shakespeare in Rock - Il Musical,https://www.teatro.it/spettacoli/legnano/talisio-tirinnanzi/2023-2024/shakespeare-in-rock-il-musical,Teatro e spettacolo,"Scuola Secondaria di Primo Grado Giovanni Ungaretti, 3, Piazza Quattro Novembre, San Giorgio su Legnano, Milano, Lombardia, 20034, Italia",45.5765251,8.9157963
Teatri,13-01-24,2024-01-13,"Via San Giovanni sul Muro, 2, Milano, MI",Teatro Dal Verme,"Lo spettacolo di Carolina Benvenga ""Un Natale Favoloso a Teatro""",https://www.milanotoday.it/eventi/spettacolo-carolina-benvenga-teatro-dal-verme.html,Teatro e spettacolo,"2, Via San Giovanni sul Muro, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4671162,9.1814924
Spettacoli,13-01-24,2024-01-13,"Via Alessandro Manzoni 42,20121, Milano, MI,Italia",Manzoni,Vincenzo Schettini - La fisica che ci piace,https://www.teatro.it/spettacoli/milano/manzoni/2023-2024/vincenzo-schettini-la-fisica-che-ci-piace,Teatro e spettacolo,"Teatro Manzoni, 42, Via Alessandro Manzoni, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710286,9.1944762
,14-01-24,2024-01-13,"Piazza Tre Torri, Milano, MI",City Life,"ll Tour ""Citroën Drive all Electric"" rivela i Vantaggi di una Mobilità per tutti a Zero Emissioni",https://www.milanotoday.it/eventi/tour-citroen-drive-all-electric.html,Non classificato,"Piazza Tre Torri, Tre Torri, Municipio 8 di Milano, Milano, Lombardia, 20149, Italia",45.4783108,9.1570584
Spettacoli,13-01-24,2024-01-13,"Via Alessandro Manzoni 42,20121, Milano, MI,Italia",Manzoni,Il Gatto con gli Stivali,https://www.teatro.it/spettacoli/milano/manzoni/2023-2024/il-gatto-con-gli-stivali-la-casa-delle-storia,Teatro e spettacolo,"Teatro Manzoni, 42, Via Alessandro Manzoni, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710286,9.1944762
,23-01-24,2024-01-13,"Foro Buonaparte, 67, Milano, MI",Fondazione Matalon,Yicca 23/24 international contest of contemporary art,https://www.milanotoday.it/eventi/yicca-23-24-international-contest-of-contemporary-art-mostra-finale.html,Non classificato,"Fondazione Matalon, 67, Foro Buonaparte, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4678515,9.1808028
,13-01-24,2024-01-13,"Piazza Sant'Ambrogio, Milano, MI",milano,Un gioiello di arte e storia Sant'Ambrogio,https://www.milanotoday.it/eventi/un-gioiello-di-arte-e-storia-s-ambrogio-prolocomilano.html,Non classificato,"Piazza Sant'Ambrogio, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20123, Italia",45.4620403,9.1746594
Disco&Feste,13-01-24,2024-01-13,"Via Gaudenzio Fantoli, Milano, MI",Fabrique,"""Febbre a 90"", la grande festa torna al Fabrique",https://www.milanotoday.it/eventi/festa-anni-novanta-fabrique.html,Musica e vita notturna,"Via Gaudenzio Fantoli, Parco Monluè - Ponte Lambro, Municipio 4, Milano, Lombardia, 21771, Italia",45.4543227,9.2574834
Teatri,13-01-24,2024-01-13,"Corso di Porta Romana, 63, Milano, MI",Teatro Carcano,"""I tre porcellini"" insegna ai bambini l'amicizia e l'attenzione all'ambiente",https://www.milanotoday.it/eventi/spettacolo-i-tre-porcellini-teatro-carcano.html,Teatro e spettacolo,"Teatro Carcano, 63, Corso di Porta Romana, Crocetta, Municipio 1, Milano, Lombardia, 20121, Italia",45.4566842,9.1955297
,13-01-24,2024-01-13,"Via Pistoia, 10, Milano, MI",Padiglione,"Marco Drago presenta ""Innamorato""",https://www.milanotoday.it/eventi/marco-drago-presenta-innamorato-edizioni-bollati-boringhieri-al-padiglione-di-baggio-marco-drago.html,Non classificato,"Biblioteca Comunale Baggio, 10, Via Pistoia, Baggio, Municipio 7, Milano, Lombardia, 20153, Italia",45.4633673,9.0903283
Spettacoli,13-01-24,2024-01-13,"Via San Giovanni sul muro 2,20121, Milano, MI,Italia",Dal Verme,Un Natale favoloso...a teatro,https://www.teatro.it/spettacoli/milano/dal-verme/2023-2024/carolina-un-natale-favolosoa-teatro,Teatro e spettacolo,"2, Via San Giovanni sul Muro, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4671162,9.1814924
,13-01-24,2024-01-13,"Via Marco D'Oggiono, Milano, MI",Teatro LabArca,"Teatro, lingua e vita. Il mondo poetico di Franco Loi",https://www.milanotoday.it/eventi/teatro-lingua-e-vita-il-mondo-poetico-di-franco-loi-davide-ferrari-giancarlo-consonni-umberto-fiori-egidio-bertazzoni-maurizio-cucchi.html,Non classificato,"Via Marco d'Oggiono, Ticinese, Municipio 1, Milano, Lombardia, 20123, Italia",45.4569667,9.1758861
Spettacoli,13-01-24,2024-01-13,"Via Larga 14,20122, Milano, MI,Italia",Lirico Giorgio Gaber,Esperienze D.M.,https://www.teatro.it/spettacoli/milano/lirico-giorgio-gaber/2023-2024/esperienze-dm,Teatro e spettacolo,"Teatro Lirico Giorgio Gaber, 14, Via Larga, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20122, Italia",45.4615135,9.1918702
Spettacoli,13-01-24,2024-01-13,"Piazza Enzo Jannacci 1,20017, Rho, MI,Italia",Civico - Roberto de Silva,Tutu,https://www.teatro.it/spettacoli/rho/teatro-civico-roberto-de-silva/2023-2024/chicos-mambo-tutu,Teatro e spettacolo,"Piazza Enzo Jannacci, San Pietro, Lucernate, Rho, Milano, Lombardia, 20017, Italia",45.5279748,9.0458872
Spettacoli,13-01-24,2024-01-13,"Via Filodrammatici 2,20121, Milano, MI,Italia",Teatro Alla Scala,Coppélia,https://www.teatro.it/spettacoli/milano/teatro-alla-scala/2023-2024/coreografia-alexei-ratmansky-coppelia,Teatro e spettacolo,"2, Via Filodrammatici, Brera, Milano, Lombardia, 20121, Italia",45.4673781,9.188701
Incontro/presentazione,13-01-24,2024-01-13,"via Brera, 28, Milano, MI",Pinacoteca di Brera - Biblioteca Nazionale Braidense di Milano,Le CONCHE,,Formazione e networking,"Pinacoteca di Brera, 28, Via Brera, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4722421,9.1884071
Spettacoli,13-01-24,2024-01-13,"Via Filodrammatici 2,20121, Milano, MI,Italia",Teatro Alla Scala,Coppélia,https://www.teatro.it/spettacoli/milano/teatro-alla-scala/2023-2024/teatro-alla-scala-coppelia,Teatro e spettacolo,"2, Via Filodrammatici, Brera, Milano, Lombardia, 20121, Italia",45.4673781,9.188701
,14-01-24,2024-01-13,"Viale Achille Papa, 30, Milano, MI",Ginarteria - World Join Center,Milano fashion week tra i grattacieli al WJC,https://www.milanotoday.it/eventi/milano-fashion-week-tra-i-grattacieli-al-wjc-ingresso-omaggio-donna.html,Non classificato,"30, Viale Achille Papa, Villapizzone, QT8, Municipio 8 di Milano, Milano, Lombardia, 20149, Italia",45.4895624,9.1412193
,14-01-24,2024-01-14,"Piazza Castello, Milano, MI",Fermata M1,Per non dimenticare leone,https://www.milanotoday.it/eventi/per-non-dimenticare-leone-leone.html,Non classificato,"Piazza Castello, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, Italia",45.4704699,9.1819129
Spettacoli,14-01-24,2024-01-14,"via Selvanesco 75,20142, Milano, MI,Italia",Pim Off,La sorella di Gesùcristo,https://www.teatro.it/spettacoli/milano/pim-off/2023-2024/la-sorella-di-gesucristo,Teatro e spettacolo,"75, Via Selvanesco, Gratosoglio - Ticinello, Municipio 5, Milano, Lombardia, 20142, Italia",45.4149579,9.1773287
Spettacoli,14-01-24,2024-01-14,"Corso Buenos Aires,33,20124, Milano, MI,Italia",Teatro Elfo Puccini - sala Fassbinder,L'istruttoria,https://www.teatro.it/spettacoli/milano/teatro-elfo-puccini-sala-fassbinder/2023-2024/listruttoria,Teatro e spettacolo,"Teatro Elfo Puccini, 33, Corso Buenos Aires, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20124, Italia",45.4794317,9.2098387
Spettacoli,14-01-24,2024-01-14,"via Filodrammatici,1,20121, Milano, MI,Italia",Filodrammatici,The Handmaid's Tale - Il racconto dell'Ancella,https://www.teatro.it/spettacoli/milano/filodrammatici/2023-2024/the-handmaids-tale-il-racconto-dellancella,Teatro e spettacolo,"Teatro dei Filodrammatici, 1, Via Filodrammatici, Brera, Municipio 1, Milano, Lombardia, 20121, Italia",45.467261,9.188435
Spettacoli,14-01-24,2024-01-14,"Viale dell'Innovazione 20,20126, Milano, MI,Italia",Arcimboldi,Peter Pan - Il Musical,https://www.teatro.it/spettacoli/milano/arcimboldi/2023-2024/peter-pan-il-musical,Teatro e spettacolo,"20, Viale dell'Innovazione, Bicocca, Municipio 9, Milano, Lombardia, 20125, Italia",45.5148696,9.2135963
Spettacoli,14-01-24,2024-01-14,"Corso di Porta Romana 63,20122, Milano, MI,Italia",Carcano,Paradiso XXXIII,https://www.teatro.it/spettacoli/milano/carcano/2023-2024/elio-germano-paradiso-xxxiii,Teatro e spettacolo,"Teatro Carcano, 63, Corso di Porta Romana, Crocetta, Municipio 1, Milano, Lombardia, 20121, Italia",45.4566842,9.1955297
,14-01-24,2024-01-14,"Via Marco D'Oggiono, Milano, MI",Teatro LabArca,"Luminoso, incidente",https://www.milanotoday.it/eventi/luminoso-incidente-il-collettivo-della-solitudine.html,Non classificato,"Via Marco d'Oggiono, Ticinese, Municipio 1, Milano, Lombardia, 20123, Italia",45.4569667,9.1758861
Spettacoli,14-01-24,2024-01-14,"Largo Antonio Greppi,20121, Milano, MI,Italia",Piccolo Teatro - Teatro Strehler,Slava's SnowShow,https://www.teatro.it/spettacoli/milano/piccolo-teatro-teatro-strehler/2023-2024/slavas-snowshow,Teatro e spettacolo,"Largo Antonio Greppi, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.471727,9.1826196
Spettacoli,14-01-24,2024-01-14,"Via Alessandro Manzoni 42,20121, Milano, MI,Italia",Manzoni,Andavo ai 100 all'ora,https://www.teatro.it/spettacoli/milano/manzoni/2023-2024/paolo-cevoli-andavo-ai-100-allora,Teatro e spettacolo,"Teatro Manzoni, 42, Via Alessandro Manzoni, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710286,9.1944762
Spettacoli,15-01-24,2024-01-15,"Viale dell'Innovazione 20,20126, Milano, MI,Italia",Arcimboldi,L'arte di non vedere,https://www.teatro.it/spettacoli/milano/arcimboldi/2023-2024/vincenzo-mollica-larte-di-non-vedere,Teatro e spettacolo,"20, Viale dell'Innovazione, Bicocca, Municipio 9, Milano, Lombardia, 20125, Italia",45.5148696,9.2135963
Spettacoli,15-01-24,2024-01-15,"Via Larga 14,20122, Milano, MI,Italia",Lirico Giorgio Gaber,La bella addormentata,https://www.teatro.it/spettacoli/milano/lirico-giorgio-gaber/2023-2024/la-bella-addormentata,Teatro e spettacolo,"Teatro Lirico Giorgio Gaber, 14, Via Larga, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20122, Italia",45.4615135,9.1918702
,04-02-24,2024-01-16,"Via Mac Mahon, 16, Milano, MI",Teatro Out Off,Elena di ghiannis ritsos e monologhi dell’ atomica,https://www.milanotoday.it/eventi/elena-di-ghiannis-ritsos-e-monologhi-dell-atomica.html,Non classificato,"Via Mac Mahon, Villapizzone, Ghisolfa, Municipio 8 di Milano, Milano, Lombardia, 20155, Italia",45.4944281,9.1571046
,16-01-24,2024-01-16,"Via Gerolamo Morone, Milano, MI",Casa Manzoni,"L'educazione sentimentale: ""Cime tempestose"" di Emily Bronte",https://www.milanotoday.it/eventi/l-educazione-sentimentale-cime-tempestose-di-emily-bronte.html,Non classificato,"Via Gerolamo Morone, Duomo, Municipio 1, Milano, Lombardia, 20121, Italia",45.4681863,9.1916738
,17-01-24,2024-01-17,"Via Antonio Stoppani, 11, Milano, MI",Long Song Café,La presentazione di Tom Petty,https://www.milanotoday.it/eventi/la-presentazione-di-tom-petty-tom-petty.html,Non classificato,"11, Via Antonio Stoppani, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20129, Italia",45.4754527,9.2130782
,05-02-24,2024-01-17,"Via San Fermo, 19, Milano, MI",Spazio HUS,Premiohus per le arti visive,https://www.milanotoday.it/eventi/premiohus-per-le-arti-visive.html,Non classificato,"Via San Fermo, Baggio, Municipio 7, Villaggio Cavour, Settimo Milanese, Milano, Lombardia, 20019, Italia",45.4630575,9.0747604
Spettacoli,17-01-24,2024-01-17,"Piazza Cesare Beccaria 8,20122, Milano, MI,Italia",Gerolamo,Dopodiché stasera mi butto,https://www.teatro.it/spettacoli/milano/gerolamo/2023-2024/dopodiche-stasera-mi-butto,Teatro e spettacolo,"Teatro Gerolamo, 8, Piazza Cesare Beccaria, Duomo, Municipio 1, Milano, Lombardia, 20122, Italia",45.464175,9.1945551
Incontro/presentazione,18-01-24,2024-01-18,"via Brera, 28, Milano, MI",Pinacoteca di Brera - Biblioteca Nazionale Braidense di Milano,Collezione PAGLIANI,,Formazione e networking,"Pinacoteca di Brera, 28, Via Brera, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4722421,9.1884071
,18-01-24,2024-01-18,"Via Gustavo Fara, 2, Milano, MI",Chiesa san Gioachimo,Una storia spettacolare,https://www.milanotoday.it/eventi/una-storia-spettacolare.html,Non classificato,"2, Via Gustavo Fara, Centrale, Municipio 2, Milano, Lombardia, 20124, Italia",45.481939,9.1977471
,25-08-24,2024-01-19,"Via Arona, 19, Milano, MI",VIGORELLI,Football americano con i Seamen,https://www.milanotoday.it/eventi/football-americano-con-i-seamen-al-vigorelli-per-il-campionato-elf-2024-milano-seamen.html,Non classificato,"19, Via Arona, Portello, Tre Torri, Municipio 8 di Milano, Milano, Lombardia, 20149, Italia",45.4821434,9.1582793
