categoria,data_fine,data_inizio,indirizzo,luogo,titolo,url,macro_categoria,geocoded_address,lat,long
Disco&Feste,01-01-24,2024-01-01,"Via Alfonso Gatto, Milano, MI",Amnesia Milano,Il Capodanno all'Amnesia e la maratona di musica elettronica,https://www.milanotoday.it/eventi/festa-capodanno-2024-amnesia.html,Musica e vita notturna,"Via Alfonso Gatto, Parco Forlanini - Ortica, Municipio 4, Milano, Lombardia, 20059, Italia",45.4641873,9.2389918
Spettacoli,01-01-24,2024-01-01,"Via Alessandro Manzoni 42,20121, Milano, MI,Italia",Manzoni,Dove eravamo rimasti,https://www.teatro.it/spettacoli/milano/manzoni/2023-2024/massimo-lopez-tullio-solenghi-dove-eravamo-rimasti,Teatro e spettacolo,"Teatro Manzoni, 42, Via Alessandro Manzoni, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710286,9.1944762
Spettacoli,01-01-24,2024-01-01,"Viale dell'Innovazione 20,20126, Milano, MI,Italia",Arcimboldi,Personaggi,https://www.teatro.it/spettacoli/milano/arcimboldi/2023-2024/antonio-albanese-personaggi,Teatro e spettacolo,"20, Viale dell'Innovazione, Bicocca, Municipio 9, Milano, Lombardia, 20125, Italia",45.5148696,9.2135963
Spettacoli,02-01-24,2024-01-02,"Via Filodrammatici 2,20121, Milano, MI,Italia",Teatro Alla Scala,Don Carlo,https://www.teatro.it/spettacoli/milano/teatro-alla-scala/2023-2024/don-carlo-teatro-alla-scala,Teatro e spettacolo,"2, Via Filodrammatici, Brera, Milano, Lombardia, 20121, Italia",45.4673781,9.188701
Spettacoli,04-01-24,2024-01-04,"p.zza IV Novembre 3,20025, Legnano, MI,Italia",Talisio Tirinnanzi,Gran Galà del Balletto,https://www.teatro.it/spettacoli/legnano/talisio-tirinnanzi/2023-2024/gran-gala-della-danza-balletto-di-milano,Teatro e spettacolo,"Scuola Secondaria di Primo Grado Giovanni Ungaretti, 3, Piazza Quattro Novembre, San Giorgio su Legnano, Milano, Lombardia, 20034, Italia",45.5765251,8.9157963
Promozioni,04-03-24,2024-01-05,"Strada Statale dei Giovi, 35, Milano, MI",Centro Commerciale Brianza,Saldi invernali 2024: gli sconti esclusivi e le imperdibili promozioni a Milano,https://www.milanotoday.it/eventi/saldi-invernali-brianza.html,Mercati e shopping,"Via Strada Statale 35 dei Giovi, Villaggio Ambrosiano, Paderno Dugnano, Zona Omogenea Milano Nord, Milano, Lombardia, 20037, Italia",45.553365,9.1543228
Spettacoli,05-01-24,2024-01-05,"Via Mosé Bianchi,94,20149, Milano, MI,Italia",Pime,Schiaccianoci Suite,https://www.teatro.it/spettacoli/milano/pime/2023-2024/balletto-di-milano-schiaccianoci-suite,Teatro e spettacolo,"Auditorium PIME, 94, Via Mosè Bianchi, De Angeli - Monte Rosa, Municipio 7, Milano, Lombardia, 20149, Italia",45.4758537,9.1454989
Spettacoli,07-01-24,2024-01-07,"Via Valtellina,7,20159, Milano, MI,Italia",Il Sistina Chapiteau - Milano,CATS - Il Musical,https://www.teatro.it/spettacoli/milano/il-sistina-chapiteau/2023-2024/cats-il-musical,Teatro e spettacolo,"Via Valtellina, Farini, Municipio 9, Milano, Lombardia, 20159, Italia",45.4887938,9.1820604
Spettacoli,07-01-24,2024-01-07,"Via Larga 14,20122, Milano, MI,Italia",Lirico Giorgio Gaber,NatAle & Franz Show,https://www.teatro.it/spettacoli/milano/lirico-giorgio-gaber/2023-2024/natale-franz-show-ale-e-franz,Teatro e spettacolo,"Teatro Lirico Giorgio Gaber, 14, Via Larga, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20122, Italia",45.4615135,9.1918702
Spettacoli,07-01-24,2024-01-07,"Via Rivoli 6,20121, Milano, MI,Italia",Piccolo Teatro - Studio Melato,Il canto di Natale,https://www.teatro.it/spettacoli/milano/piccolo-teatro-studio-melato/2023-2024/il-canto-di-natale,Teatro e spettacolo,"6, Via Rivoli, Brera, Municipio 1, Milano, Lombardia, 20121, Italia",45.4726093,9.182881
Spettacoli,07-01-24,2024-01-07,"via Pier Lombardo,14,20135, Milano, MI,Italia",Franco Parenti - Sala Grande,Da questa sera si recita a soggetto,https://www.teatro.it/spettacoli/milano/franco-parenti-sala-grande/2023-2024/paolo-rossi-da-questa-sera-si-recita-a-soggetto,Teatro e spettacolo,"Via Pier Lombardo, Porta Romana, Municipio 4, Milano, Lombardia, 20135, Italia",45.4542958,9.2063109
