categoria,data_fine,data_inizio,indirizzo,luogo,titolo,url,macro_categoria,geocoded_address,lat,long
Altro,31-12-20,2020-01-01,"via Brera, 28, Milano, MI",Pinacoteca di Brera,I capolavori di Brera,,Altri eventi,"Istituto Nazionale di Astrofisica – Osservatorio astronomico di Brera, 28, Via Brera, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4715946,9.1889707
Mercatini,31-12-20,2020-01-01,"Via Alberto Falck, 1, Milano, MI",Mercatino Vintage Sesto,Mercatino vintage Sesto,https://www.milanotoday.it/eventi/mercatino-vintage-sesto-2020.html,Mercati e shopping,"Via Alberto Falck, Parpagliona, Cassina de' Gatti, Sesto San Giovanni, Zona Omogenea Milano Nord, Milano, Lombardia, 20099, Italia",45.5362555,9.2470549
Spettacoli,01-01-20,2020-01-01,"Via Alessandro Manzoni 42,20121, Milano, MI,Italia",Manzoni,Romeo e Giulietta - Nati sotto contraria stella,https://www.teatro.it/spettacoli/milano/manzoni/2019-2020/romeo-e-giulietta-nati-sotto-contraria-stella,Teatro e spettacolo,"Teatro Manzoni, 42, Via Alessandro Manzoni, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710286,9.1944762
Teatri,06-01-20,2020-01-02,"Via Alessandro Manzoni, 42, Milano, MI",Teatro Manzoni,A Milano arriva il festival della magia con Raul Cremona,https://www.milanotoday.it/eventi/festival-magia-raul-cremona.html,Teatro e spettacolo,"Teatro Manzoni, 42, Via Alessandro Manzoni, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710286,9.1944762
Cibo e Vino,04-01-20,2020-01-03,"Via Rovigno, 14, Milano, MI",Bocciofila Martesana,"Una sagra milanese imperdibile a base di cotoletta, polenta e ossobuco",https://www.milanotoday.it/eventi/sagra-milanese-bocciofila.html,Enogastronomia,"14, Via Rovigno, Padova, Municipio 2, Milano, Lombardia, 20125, Italia",45.5030298,9.2197702
Incontri,14-02-20,2020-01-05,"Via San Sisto, 4, Milano, MI",Studio Museo Francesco Messina,"Continua ""con straordinario trasporto""",https://www.milanotoday.it/eventi/continua-con-straordinario-trasporto-2019.html,Formazione e networking,"4, Via San Sisto, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20123, Italia",45.4607942,9.1815957
Incontri,14-02-20,2020-01-05,"Via San Sisto, 4, Milano, MI",Studio Museo Francesco Messina,"Continua ""con straordinario trasporto""",https://www.milanotoday.it/eventi/continua-con-straordinario-trasporto.html,Formazione e networking,"4, Via San Sisto, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20123, Italia",45.4607942,9.1815957
Spettacoli,05-01-20,2020-01-05,"via Pitteri 58,20134, Milano, MI,Italia",Martinitt,Storia d'amore in ascensore,https://www.teatro.it/spettacoli/milano/martinitt/2019-2020/elevati-e-lavati,Teatro e spettacolo,"Via Riccardo Pitteri, Lambrate, Municipio 3, Milano, Lombardia, 20134, Italia",45.4798362,9.2457864
Spettacoli,05-01-20,2020-01-05,"Via Rovello 2,20121, Milano, MI,Italia",Piccolo Teatro - Teatro Grassi,Dalla Terra alla Luna,https://www.teatro.it/spettacoli/milano/piccolo-teatro-teatro-grassi/2019-2020/dalla-terra-alla-luna,Teatro e spettacolo,"2, Via Rovello, Brera, Milano, Lombardia, 20121, Italia",45.4665188,9.1847651
Spettacoli,06-01-20,2020-01-06,"Corso di Porta Romana 63,20122, Milano, MI,Italia",Carcano,Eureka,https://www.teatro.it/spettacoli/milano/carcano/2019-2020/eureka,Teatro e spettacolo,"Teatro Carcano, 63, Corso di Porta Romana, Crocetta, Municipio 1, Milano, Lombardia, 20121, Italia",45.4566842,9.1955297
