categoria,data_fine,data_inizio,indirizzo,luogo,titolo,url,macro_categoria,geocoded_address,lat,long
Mercatini,09-01-22,2022-01-09,"Via Santa Croce, 15, Milano, MI",Associazione IBVA,Domenica 9 gennaio torna il mercato di Solidando,https://www.milanotoday.it/eventi/domenica-9-gennaio-solidando.html,Mercati e shopping,"Via Santa Croce, Ticinese, Municipio 1, Milano, Lombardia, 20136, Italia",45.4540253,9.1823474
Spettacoli,09-01-22,2022-01-09,"Viale dell'Innovazione 20,20126, Milano, MI,Italia",Arcimboldi,Ghost - Il Musical,https://www.teatro.it/spettacoli/milano/degli-arcimboldi/2021-2022/ghost-il-musical,Teatro e spettacolo,"20, Viale dell'Innovazione, Bicocca, Municipio 9, Milano, Lombardia, 20125, Italia",45.5148696,9.2135963
Spettacoli,09-01-22,2022-01-09,"Via Rovello 2,20121, Milano, MI,Italia",Piccolo Teatro - Teatro Grassi,Pinocchio,https://www.teatro.it/spettacoli/milano/piccolo-teatro-teatro-grassi/2021-2022/pinocchio,Teatro e spettacolo,"2, Via Rovello, Brera, Milano, Lombardia, 20121, Italia",45.4665188,9.1847651
Spettacoli,09-01-22,2022-01-09,"Via Larga 14,20122, Milano, MI,Italia",Lirico Giorgio Gaber,Comincium,https://www.teatro.it/spettacoli/milano/lirico-giorgio-gaber/2021-2022/comincium-ale-franz,Teatro e spettacolo,"Teatro Lirico Giorgio Gaber, 14, Via Larga, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20122, Italia",45.4615135,9.1918702
Spettacoli,09-01-22,2022-01-09,"Via Filodrammatici 2,20121, Milano, MI,Italia",Teatro Alla Scala,Recital di canto - Waltraud Meier e Günther Groissböck,https://www.teatro.it/spettacoli/milano/teatro-alla-scala/2021-2022/recital-di-canto-waltraud-meier-e-gunther-groissbock,Teatro e spettacolo,"2, Via Filodrammatici, Brera, Milano, Lombardia, 20121, Italia",45.4673781,9.188701
Spettacoli,09-01-22,2022-01-09,"Viale dell'Innovazione 20,20126, Milano, MI,Italia",Arcimboldi,Ghost - Il Musical,https://www.teatro.it/spettacoli/milano/degli-arcimboldi/2021-2022/ghost-il-musical,Teatro e spettacolo,"20, Viale dell'Innovazione, Bicocca, Municipio 9, Milano, Lombardia, 20125, Italia",45.5148696,9.2135963
Spettacoli,09-01-22,2022-01-09,"via Pier Lombardo,14,20135, Milano, MI,Italia",Franco Parenti - Sala Grande,Il rompiballe,https://www.teatro.it/spettacoli/milano/franco-parenti-sala-grande/2021-2022/il-rompiballe,Teatro e spettacolo,"Via Pier Lombardo, Porta Romana, Municipio 4, Milano, Lombardia, 20135, Italia",45.4542958,9.2063109
Spettacoli,09-01-22,2022-01-09,"Via Larga 14,20122, Milano, MI,Italia",Lirico Giorgio Gaber,Comincium,https://www.teatro.it/spettacoli/milano/lirico-giorgio-gaber/2021-2022/comincium-ale-franz,Teatro e spettacolo,"Teatro Lirico Giorgio Gaber, 14, Via Larga, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20122, Italia",45.4615135,9.1918702
Spettacoli,09-01-22,2022-01-09,"Via Rovello 2,20121, Milano, MI,Italia",Piccolo Teatro - Teatro Grassi,Pinocchio,https://www.teatro.it/spettacoli/milano/piccolo-teatro-teatro-grassi/2021-2022/pinocchio,Teatro e spettacolo,"2, Via Rovello, Brera, Milano, Lombardia, 20121, Italia",45.4665188,9.1847651
,10-01-22,2022-01-10,"Foro Buonaparte, 67, Milano, MI",Fondazione Mattalon,Apre la mostra finale del concorso yicca,https://www.milanotoday.it/eventi/apre-la-mostra-finale-del-concorso-yicca.html,Non classificato,"Fondazione Matalon, 67, Foro Buonaparte, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4678515,9.1808028
Spettacoli,11-01-22,2022-01-11,"Piazza Risorgimento 19,20066, Melzo, MI,Italia",Trivulzio,Marjorie Prime,https://www.teatro.it/spettacoli/melzo/trivulzio/2021-2022/marjorie-prime,Teatro e spettacolo,"Piazza Risorgimento, Melzo, Milano, Lombardia, 20066, Italia",45.5003449,9.4229132
Spettacoli,12-01-22,2022-01-12,"vicolo Fiume 4,20092, Cinisello Balsamo, MI,Italia",Pax,Diamoci del tu,https://www.teatro.it/spettacoli/cinisello-balsamo/pax/2021-2022/diamoci-del-tu,Teatro e spettacolo,"CineTeatro Pax, 4, Vicolo Fiume, Cinisello, Cinisello Balsamo, Zona Omogenea Milano Nord, Milano, Lombardia, 20092, Italia",45.5564874,9.2169118
Mostre,30-01-22,2022-01-13,"Via Filodrammatici, Milano, MI",Teatro Filodrammatici,Stato interessante - Prima nazionale al Filodrammatici,https://www.milanotoday.it/eventi/stato-interessante-prima-nazionale.html,Arte e cultura,"Via Filodrammatici, Brera, Municipio 1, Milano, Lombardia, 20121, Italia",45.4673403,9.1886109
Teatri,30-01-22,2022-01-14,"Via Riccardo Pitteri, 58, Milano, MI",Teatro Martinitt,"""Ti dedico una canzone"" al Teatro Martinitt è un'esplosione di emozioni",https://www.milanotoday.it/eventi/spettacolo-ti-dedico-una-canzone-teatro-martinitt.html,Teatro e spettacolo,"Via Riccardo Pitteri, Lambrate, Municipio 3, Milano, Lombardia, 21771, Italia",45.4736333,9.2486288
Teatri,16-01-22,2022-01-14,"Via Tertulliano, 68, Milano, MI",Teatro Tertulliano,Astenersi astemi a teatro dal 14 al 16 gennaio 2022,https://www.milanotoday.it/eventi/astenersi-astemi-a-teatro-2021.html,Teatro e spettacolo,"Spazio Tertulliano, 68, Via Tertulliano, Umbria - Molise, Municipio 4, Milano, Lombardia, 20137, Italia",45.4482227,9.2217984
Teatri,16-01-22,2022-01-14,"Via Tertulliano, 68, Milano, MI",Avirex Spazio Tertulliano,"""Astenersi astemi"" a teatro dal 14 al 16 gennaio 2022",https://www.milanotoday.it/eventi/astenersi-astemi-a-teatro-dal-14-al-16-gennaio-2022.html,Teatro e spettacolo,"Spazio Tertulliano, 68, Via Tertulliano, Umbria - Molise, Municipio 4, Milano, Lombardia, 20137, Italia",45.4482227,9.2217984
Mostre,26-02-22,2022-01-14,"Viale Enrico Forlanini, Milano, MI",Artgallery MCL-virtual gallery,"""Beard gallery"",mostra personale online di Fulgor Silvi",https://www.milanotoday.it/eventi/beard-gallery-mostra-personale.html,Arte e cultura,"Viale Enrico Forlanini, Parco Monluè - Ponte Lambro, Municipio 4, Milano, Lombardia, 21771, Italia",45.4618211,9.265585
Teatri,15-01-22,2022-01-14,"Viale dell'Innovazione, 20, Milano, MI",Teatro degli Arcimboldi,"""L'Attimo fuggente"" con Ettore Bassi è una storia d'amore per la vita",https://www.milanotoday.it/eventi/spettacolo-attimo-fuggente-teatro-arcimboldi.html,Teatro e spettacolo,"20, Viale dell'Innovazione, Bicocca, Municipio 9, Milano, Lombardia, 20125, Italia",45.5148696,9.2135963
Incontri,16-01-22,2022-01-15,"Corso Venezia, 55, Milano, MI",Museo di Storia Naturale,Al Museo di Storia Naturale una visita guidata speciale per bambini,https://www.milanotoday.it/eventi/visite-guidate-bambini-museo-storia-naturale.html,Formazione e networking,"Museo di Storia Naturale, 55, Corso Venezia, Guastalla, Municipio 1, Milano, Lombardia, 20121, Italia",45.472734,9.2024419
