categoria,data_fine,data_inizio,indirizzo,luogo,titolo,url,macro_categoria,geocoded_address,lat,long,cluster,subcluster,hierarchical_id,subsubcluster
,18-06-16,18-06-16,"Via Alessandro Stradella, 5, Milano, MI",Alma Matters,Concerto di campane tibetane a quattro mani all'Alma Matters,https://www.milanotoday.it/eventi/concerto-di-campane-tibetane.html,Non classificato,"Via Alessandro Stradella, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20129, Italia",45.4784806,9.2158425,0,0,0.0,0
Turismo,30-04-19,21-08-17,"Piazza San Sepolcro, Milano, MI",Cripta di San Sepolcro,"Cripta di San Sepolcro a Milano, la magia dei ritrovamenti dei restauri: le visite notturne",https://www.milanotoday.it/eventi/cripta-san-sepolcro-biglietti.html,Non classificato,"Piazza San Sepolcro, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20123, Italia",45.462935,9.1852031,0,0,0.1,1
Mostre,20-02-19,19-02-18,"Via Festa del Perdono, Milano, MI",Università degli studi di Milano,Dal 20 febbraio in Statale un'imponente installazione di arte povera,https://www.milanotoday.it/eventi/installazione-arte-povera-statale.html,Arte e cultura,"Via Festa del Perdono, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20122, Italia",45.4603426,9.1940887,0,0,0.1,1
Mostre,01-03-19,01-03-18,"Piazza Pio XI, 2, Milano, MI",Pinacoteca Ambrosiana,72 capolavori hindu: dal 1° marzo alla Pinacoteca Ambrosiana,https://www.milanotoday.it/eventi/72-capolavori-hindu.html,Arte e cultura,"Biblioteca Ambrosiana, 2, Piazza Pio Undicesimo, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20123, Italia",45.4636207,9.1860483,0,0,0.1,1
Mostre,17-03-19,17-03-18,"Via Gerolamo Morone, 1, Milano, MI",Casa del Manzoni,“Buena suerte milagros de méxico” «Folklore e tradizione negli ex~voto messicani contemporanei»,https://www.milanotoday.it/eventi/buena-suerte-milagros-de-mexico--2018.html,Arte e cultura,"Casa Manzoni, 1, Via Gerolamo Morone, Duomo, Municipio 1, Milano, Lombardia, 20121, Italia",45.4678068,9.1920792,0,0,0.1,1
Mostre,20-07-19,20-03-18,"Via Gerolamo Morone, Milano, MI",Casa Del Manzoni,Mostra Buena suerte Milagros de Mèxico,https://www.milanotoday.it/eventi/mostra-buena-suerte-milagros-de-mexico-2019.html,Arte e cultura,"Via Gerolamo Morone, Duomo, Municipio 1, Milano, Lombardia, 20121, Italia",45.4681863,9.1916738,0,0,0.1,1
Turismo,01-09-19,29-03-18,"Piazza Castello, Milano, MI",Castello Sforzesco,“Beyond the Castle”: dal 29 marzo fino a settembre 2019 realtà virtuale al Castello Sforzesco per vivere come un arciere nella Milano rinascimentale,https://www.milanotoday.it/eventi/beyond-the-castle.html,Non classificato,"Piazza Castello, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, Italia",45.4704699,9.1819129,0,0,0.1,1
Mostre,30-06-19,21-06-18,"Piazza Ventiquattro Maggio, Milano, MI",Piazza XXIV Maggio,"Piazza XXIV Maggio, arrivano le tre grandi cupole interattive sul lato oscuro della moda",https://www.milanotoday.it/eventi/cupole-piazza-xxiv-maggio.html,Arte e cultura,"Piazza Ventiquattro Maggio, Ticinese, Municipio 5, Milano, Lombardia, 20136, Italia",45.4529634,9.1804834,0,0,0.1,1
Mostre,13-10-19,19-07-18,"Via San Vittore, Milano, MI",Museo Nazionale della Scienza e della Tecnologia,"""Leonardo da Vinci Parade"": dal 19 luglio al 13 ottobre 2019 al Museo Nazionale Scienza e Tecnologia",https://www.milanotoday.it/eventi/leonado-da-vinci-parade.html,Arte e cultura,"Via San Vittore, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20144, Italia",45.4640293,9.1681174,0,0,0.2,2
Mostre,14-01-19,20-09-18,"Piazza del Duomo, Milano, MI",Osservatorio Fondazione Prada,"""The Black Image Corporation"": dal 20 settembre al 14 gennaio 2019 una mostra presso l’Osservatorio di Milano",https://www.milanotoday.it/eventi/osservatorio-prada-mostra.html,Arte e cultura,"Piazza del Duomo, Duomo, Municipio 1, Milano, Lombardia, Italia",45.4639102,9.1906398,0,0,0.1,1
Mostre,27-01-19,02-10-18,"Via Filippo Turati, 34, Milano, MI",Museo della Permanente,"""Tex. 70 anni di un mito"": dal 2 ottobre al 27 gennaio 2019 al Museo della Permanente",https://www.milanotoday.it/eventi/tex-70-anni-di-un-mito-museo-permanente.html,Arte e cultura,"Museo della Permanente, 34, Via Filippo Turati, Brera, Municipio 1, Milano, Lombardia, 20121, Italia",45.4765941,9.1955129,0,0,0.-1,-1
Mostre,13-02-19,04-10-18,"Piazza del Duomo 12, Milano, MI",Palazzo Reale,Mostra di Carlo Carrà: dal 4 ottobre al 3 febbraio 2019 a Palazzo Reale,https://www.milanotoday.it/eventi/mostra-carlo-carra-palazzo-reale.html,Arte e cultura,"Giacomo Arengario, 12, Piazza del Duomo, Duomo, Municipio 1, Milano, Lombardia, 20123, Italia",45.4635248,9.1902324,0,0,0.1,1
Incontri,01-06-19,06-10-18,"via Jan 15, Milano, MI",Casa Museo Boschi Di Stefano,Visite accompagnate gratuite a casa Boschi di Stefano,https://www.milanotoday.it/eventi/visite-accompagnate-gratuite-a-casa-boschi-di-stefano-.html,Formazione e networking,"Casa-museo Boschi Di Stefano, 15, Via Giorgio Jan, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20129, Italia",45.4790348,9.2117518,0,0,0.3,3
Mostre,20-01-19,06-10-18,"Viale Emilio Alemagna, 6, Milano, MI",La Triennale di Milano,Achille Castiglioni in mostra dal 6 ottobre al 20 gennaio 2019 alla Triennale,https://www.milanotoday.it/eventi/achille-castiglioni-in-mostra-triennale.html,Arte e cultura,"Triennale Design Museum, 6, Viale Emilio Alemagna, Parco Sempione, Municipio 1, Milano, Lombardia, 20121, Italia",45.4721477,9.1734894,0,0,0.4,4
Mostre,17-02-19,10-10-18,"Piazza del Duomo, Milano, MI",Palazzo Reale,Picasso e il mito: la mostra a Milano a Palazzo Reale,https://www.milanotoday.it/eventi/picasso-palazzo-reale-2018-2019.html,Arte e cultura,"Piazza del Duomo, Duomo, Municipio 1, Milano, Lombardia, Italia",45.4639102,9.1906398,0,0,0.1,1
Mostre,17-02-19,18-10-18,"Piazza del Duomo, 12, Milano, MI",Palazzo Reale,"""Picasso Metamorfosi"": dal 18 ottobre a Palazzo Reale",https://www.milanotoday.it/eventi/picasso-metamorfosi-mostra.html,Arte e cultura,"Giacomo Arengario, 12, Piazza del Duomo, Duomo, Municipio 1, Milano, Lombardia, 20123, Italia",45.4635248,9.1902324,0,0,0.1,1
Mostre,17-03-19,26-10-18,"Piazza della Scala, 6, Milano, MI",Galleria d'Italia,"Alle Gallerie d'Italia la mostra ""Romanticismo"" fino al 17 marzo 2019",https://www.milanotoday.it/eventi/romanticismo-gallerie-di-italia.html,Arte e cultura,"Gallerie d'Italia, 6, Piazza della Scala, Duomo, Municipio 1, Milano, Lombardia, 20121, Italia",45.467265,9.1905257,0,0,0.1,1
Mostre,20-01-19,30-10-18,"Piazza Sant'Eustorgio, 3, Milano, MI",Museo Diocesano Carlo Maria Martini,“L’Adorazione dei Magi” di Paolo Veronese: dal 30 ottobre al 20 gennaio 2019 al Museo Diocesano Carlo Maria Martini,https://www.milanotoday.it/eventi/adorazione-dei-magi-museo-diocesano-martini.html,Arte e cultura,"Museo Diocesano di Milano, 3, Piazza Sant'Eustorgio, Ticinese, Municipio 1, Milano, Lombardia, 20123, Italia",45.4546749,9.1810291,0,0,0.1,1
Mostre,03-03-19,31-10-18,"Via Tortona, 56, Milano, MI",Mudec,"""Paul Klee. Alle origini dell'arte"": da mercoledì 31 ottobre a domenica 3 marzo al Mudec",https://www.milanotoday.it/eventi/paul-klee-in-mostra-mudec.html,Arte e cultura,"Mudec, 56, Via Tortona, Tortona, Municipio 6, Milano, Lombardia, 20144, Italia",45.4520455,9.1613185,0,0,0.5,5
,10-02-19,08-11-18,"Via Sant'Andrea, 6, Milano, MI",Palazzo Morando,“Milano e il cinema”: Dall’8 novembre 2018 al 10 febbraio 2019 a Palazzo Morando,https://www.milanotoday.it/eventi/milano-e-il-cinema-2018-palazzo-morando.html,Non classificato,"Palazzo Morando - Costume Moda Immagine, 6, Via Sant'Andrea, Duomo, Municipio 1, Milano, Lombardia, 20121, Italia",45.4685907,9.1962586,0,0,0.1,1
Cibo e Vino,31-10-19,13-11-18,"Via Francesco Sforza, 32, Milano, MI",Ar.Se - il Percorso dei Segreti,Pranzo e cena al museo,https://www.milanotoday.it/eventi/pranzo-e-cena-al-museo-2018.html,Enogastronomia,"Chiesa di Santissima Maria Annunciata, 32, Via Francesco Sforza, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20122, Italia",45.4598272,9.1951956,0,0,0.1,1
Mostre,17-02-19,14-11-18,"Via Palestro, 16, Milano, MI",GAM,"""Hayez. Un capolavoro ritrovato"": dal 14 novembre al 17 febbraio 2019 alla GAM",https://www.milanotoday.it/eventi/hayez-un-capolavoro-ritrovato-gam.html,Arte e cultura,"Galleria d'Arte Moderna, 16, Via Palestro, Guastalla, Municipio 1, Milano, Lombardia, 20121, Italia",45.4725327,9.199676,0,0,0.6,6
,17-02-19,15-11-18,"Piazza Gae Aulenti, Milano, MI",Piazza Gae Aulenti,"Milano, ecco la pista di pattinaggio sul ghiaccio in Gae Aulenti: orari e prezzi",https://www.milanotoday.it/eventi/pista-pattinaggio-gae-aulenti.html,Non classificato,"Piazza Gae Aulenti, GARIBALDI REPUBBLICA, Municipio 9, Milano, Lombardia, Italia",45.4834778,9.1902248,0,0,0.7,7
Mostre,13-01-19,16-11-18,"Viale Emilio Alemagna, 6, Milano, MI",La Triennale,"""Coop_70. Valori in Scatola"": in Triennale la grande storia d'Italia insieme a Coop",https://www.milanotoday.it/eventi/coop-valori-scatola-triennale.html,Arte e cultura,"Triennale Design Museum, 6, Viale Emilio Alemagna, Parco Sempione, Municipio 1, Milano, Lombardia, 20121, Italia",45.4721477,9.1734894,0,0,0.4,4
Mostre,14-04-19,21-11-18,"Via Tortona, Milano, MI",Mudec,Al Mudec di Milano la mega mostra su Banksy (senza l'autorizzazione dello stesso Banksy),https://www.milanotoday.it/eventi/mostra-banksy-mudec.html,Arte e cultura,"Via Tortona, Tortona, Municipio 6, Milano, Lombardia, 20143, Italia",45.4501842,9.1562356,0,0,0.-1,-1
Mostre,24-02-19,23-11-18,"Piazza del Duomo, 8, Milano, MI",Museo del Novecento,“Chi ha paura del disegno?”: dal 23 novembre al 24 febbraio al Museo del Novecento,https://www.milanotoday.it/eventi/chi-ha-paura-disegno-museo-novecento.html,Arte e cultura,"8, Piazza del Duomo, Duomo, Municipio 1, Milano, Lombardia, 20123, Italia",45.4632949,9.1904599,0,0,0.1,1
,07-01-19,30-11-18,"Via Alfredo Cappellini, 20, Milano, MI",LaMari Creative Shopping,'Disegnare con il colore-personale': di Angelo Elio Barabino,https://www.milanotoday.it/eventi/disegnare-con-il-colore.html,Non classificato,"20, Via Alfredo Cappellini, Centrale, Municipio 2, Milano, Lombardia, 20124, Italia",45.4810595,9.2032583,0,0,0.13,13
Mostre,20-02-19,01-12-18,"Corso Magenta, 63, Milano, MI","Institut français Milano, Palazzo delle Stelline",'Kennedy Confidential': la mostra all'Institut français di Milano,https://www.milanotoday.it/eventi/mostra-kennedy-confidential.html,Arte e cultura,"Fondazione ENI Enrico Mattei, 63, Corso Magenta, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20123, Italia",45.465603,9.1715837,0,0,0.8,8
Manifestazioni,06-01-19,01-12-18,"Via Palestro, Milano, MI",Giardini Pubblici Indro Montanelli,"Casa Babbo Natale, cascata di ghiaccio, mercatini: torna il Villaggio delle meraviglie a Milano",https://www.milanotoday.it/eventi/villaggio-meraviglie-milano-2019-18.html,Altri eventi,"Via Palestro, Guastalla, Municipio 1, Milano, Lombardia, 20219, Italia",45.4729064,9.1999749,0,0,0.6,6
Mostre,03-03-19,04-12-18,"Piazza del Duomo, 8, Milano, MI",Museo del Novecento,"""80 anni di Corrente"": dal 4 dicembre al 3 marzo 2019 al Museo del Novecento, Casa Boschi Di Stefano e Biblioteca Sormani",https://www.milanotoday.it/eventi/80-anni-di-corrente.html,Arte e cultura,"8, Piazza del Duomo, Duomo, Municipio 1, Milano, Lombardia, 20123, Italia",45.4632949,9.1904599,0,0,0.1,1
,26-01-19,04-12-18,"Via Savona, 61, Milano, MI",Barbara Frigerio Contemporary Art,"Daniele Cestari: ""Greetings from Milano""",https://www.milanotoday.it/eventi/daniele-cestari-greetings-from-milano.html,Non classificato,"61, Via Savona, Tortona, Municipio 6, Milano, Lombardia, 20144, Italia",45.4523868,9.159355,0,0,0.5,5
Mostre,26-01-19,04-12-18,"Via Maurizio Gonzaga, 2, Milano, MI",BABS Art Gallery,"Antonio Paradiso, 'Gioielli d'artista' in mostra presso Babs Art Gallery",https://www.milanotoday.it/eventi/gioielli-d-artista-in-mostra.html,Arte e cultura,"2, Via Maurizio Gonzaga, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20123, Italia",45.4619404,9.1894546,0,0,0.1,1
Teatri,13-01-19,05-12-18,"Corso Buenos Aires, 33, Milano, MI",Teatro Elfo Puccini,"""Lo strano caso del cane ucciso a mezzanotte"": dal 5 dicembre al 13 gennaio all’Elfo Puccini",https://www.milanotoday.it/eventi/lo-strano-caso-del-cane-ucciso.html,Teatro e spettacolo,"Teatro Elfo Puccini, 33, Corso Buenos Aires, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20124, Italia",45.4794317,9.2098387,0,0,0.3,3
,13-01-19,05-12-18,"Viale Emilio Alemagna, 6, Milano, MI",La Triennale di Milano,"""Buoni come il pane"": dal 5 dicembre al 13 gennaio in Triennale",https://www.milanotoday.it/eventi/buoni-come-il-pane-triennale.html,Non classificato,"Triennale Design Museum, 6, Viale Emilio Alemagna, Parco Sempione, Municipio 1, Milano, Lombardia, 20121, Italia",45.4721477,9.1734894,0,0,0.4,4
Fiere,06-01-19,10-12-18,"Piazza del Duomo, Milano, MI",Duomo,Mercatini di Natale in Duomo dal 10 dicembre: casette in legno con prodotti tipici e regali,https://www.milanotoday.it/eventi/mercatini-duomo-date.html,Mercati e shopping,"Piazza del Duomo, Duomo, Municipio 1, Milano, Lombardia, Italia",45.4639102,9.1906398,0,0,0.1,1
Sport,06-01-19,10-12-18,"Piazza Ventiquattro Maggio, Milano, MI",Darsena Christmas Village,"Darsena, nel 'Christmas Village' anche una pista di pattinaggio galleggiante",https://www.milanotoday.it/eventi/pista-pattinaggio-darsena.html,Sport e attività fisica,"Piazza Ventiquattro Maggio, Ticinese, Municipio 5, Milano, Lombardia, 20136, Italia",45.4529634,9.1804834,0,0,0.1,1
Teatri,01-01-19,11-12-18,"Via Alessandro Manzoni, 42, Milano, MI",Teatro Manzoni,Vincenzo Salemme a teatro: dall'11 dicembre al 1 gennaio al Teatro Manzoni,https://www.milanotoday.it/eventi/vincenzo-salemme-teatro.html,Teatro e spettacolo,"Teatro Manzoni, 42, Via Alessandro Manzoni, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710286,9.1944762,0,0,0.9,9
Mostre,12-05-19,12-12-18,"Corso Magenta, 15, Milano, MI",Museo Archeologico,“Il viaggio della chimera”: dal 12 dicembre al 12 maggio al Museo Archeologico,https://www.milanotoday.it/eventi/viaggio-della-chimera-museo-archeologico.html,Arte e cultura,"Civico museo archeologico di Milano, 15, Corso Magenta, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20123, Italia",45.465621,9.1787191,0,0,0.1,1
Teatri,15-01-19,15-12-18,"Via Filodrammatici, 2, Milano, MI",Teatro alla Scala,"""Lo schiaccianoci"": dal 15 dicembre al 15 gennaio al Teatro alla Scala",https://www.milanotoday.it/eventi/lo-schiaccianoci-teatro-la-scala.html,Teatro e spettacolo,"2, Via Filodrammatici, Brera, Milano, Lombardia, 20121, Italia",45.4673781,9.188701,0,0,0.1,1
Mostre,31-03-19,15-12-18,"Corso Vittorio Emanuele II, 53, Milano, MI",MUST Museo del territorio di Vimercate,Mostra di Fortunato Depero: dal 15 dicembre al 31 marzo al MUST,https://www.milanotoday.it/eventi/mostra-fortunato-depero-must.html,Arte e cultura,"Corso Vittorio Emanuele Secondo, Duomo, Municipio 1, Milano, Lombardia, 20122, Italia",45.4657653,9.1965617,0,0,0.1,1
Incontri,15-01-19,15-12-18,"Via Melchiorre Gioia, 30, Milano, MI",Kaos,Danzato in cantos,https://www.milanotoday.it/eventi/danzato-in-cantos-jennifer-cabrera-fernandez.html,Formazione e networking,"Via Melchiorre Gioia, Brera, Municipio 1, Milano, Lombardia, 20100, Italia",45.4803757,9.190068,0,0,0.1,1
Mostre,13-01-19,15-12-18,"Viale Emilio Alemagna, 6, Milano, MI",Palazzo della Triennale,"""Ciao sono io"" in mostra alla Triennale",https://www.milanotoday.it/eventi/ciao-sono-io-in-mostra-a-la-triennale.html,Arte e cultura,"Triennale Design Museum, 6, Viale Emilio Alemagna, Parco Sempione, Municipio 1, Milano, Lombardia, 20121, Italia",45.4721477,9.1734894,0,0,0.4,4
Mostre,31-03-19,16-12-18,"Via Tortona, Milano, MI",Mudec,"""Animals"": dal 16 dicembre al 31 marzo la mostra di Steve McCurry al Mudec",https://www.milanotoday.it/eventi/animals-mccurry-mudec.html,Arte e cultura,"Via Tortona, Tortona, Municipio 6, Milano, Lombardia, 20143, Italia",45.4501842,9.1562356,0,0,0.-1,-1
Mostre,08-01-19,17-12-18,"Via Voghera, 14, Milano, MI",MADE4ART,"Mostra ""le rouge et le noir""",https://www.milanotoday.it/eventi/mostra-le-rouge-et-le-noir-sara-montani-2018.html,Arte e cultura,"14, Via Voghera, Tortona, Municipio 6, Milano, Lombardia, 20144, Italia",45.454295,9.1674959,0,0,0.5,5
Mostre,03-02-19,18-12-18,"Via Palestro, 14, Milano, MI",PAC - Padiglione d’arte contemporanea,Mostra di Eva Marisaldi: dal 18 dicembre al 3 febbraio al PAC,https://www.milanotoday.it/eventi/eva-marisaldi-pac.html,Arte e cultura,"14, Via Palestro, Guastalla, Municipio 1, Milano, Lombardia, 20121, Italia",45.4729115,9.1995282,0,0,0.6,6
Manifestazioni,06-01-19,26-12-18,"Via San Vittore, Milano, MI",museo della scienza e della tecnologia,"""Museo Natale"": dal 26 dicembre al 6 gennaio al Museo della Scienza e della Tecnologia",https://www.milanotoday.it/eventi/museo-natale-scienza-tecnologia.html,Altri eventi,"Via San Vittore, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20144, Italia",45.4640293,9.1681174,0,0,0.2,2
Teatri,13-01-19,27-12-18,"largo Greppi, Milano, MI",Piccolo Teatro Strehler,"""Slava’s Snowshow"": dal 27 dicembre al 13 gennaio al Piccolo Teatro",https://www.milanotoday.it/eventi/slava-show-piccolo-teatro.html,Teatro e spettacolo,"Largo Antonio Greppi, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.471727,9.1826196,0,0,0.1,1
Spettacoli,01-01-19,01-01-19,"Corso di Porta Romana 63,20122, Milano, MI,Italia",Carcano,La bella addormentata,https://www.teatro.it/spettacoli/milano/carcano/2018-2019/la-bella-addormentata,Teatro e spettacolo,"Teatro Carcano, 63, Corso di Porta Romana, Crocetta, Municipio 1, Milano, Lombardia, 20121, Italia",45.4566842,9.1955297,0,0,0.10,10
Spettacoli,01-01-19,01-01-19,"Via Alessandro Manzoni 42,20121, Milano, MI,Italia",Manzoni,Con tutto il cuore,https://www.teatro.it/spettacoli/milano/manzoni/2018-2019/con-tutto-il-cuore,Teatro e spettacolo,"Teatro Manzoni, 42, Via Alessandro Manzoni, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710286,9.1944762,0,0,0.9,9
Manifestazioni,04-01-19,04-01-19,"Via San Vittore, 21, Milano, MI",Museo Nazionale della Scienza e della Tecnologia,"""Colori da viaggio"": venerdì 4 gennaio 2019 al Museo della Scienza e della Tecnologia",https://www.milanotoday.it/eventi/colori-da-viaggio-museo-scienza-tecnologia.html,Altri eventi,"21, Via San Vittore, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20123, Italia",45.4628946,9.1706462,0,0,0.11,11
Teatri,05-01-19,05-01-19,"Piazza San Babila, Milano, MI",Teatro Nuovo,"""Le avventure della fabbrica di cioccolato"": sabato 5 gennaio al Teatro Nuovo",https://www.milanotoday.it/eventi/avventure-fabbrica-cioccolato.html,Teatro e spettacolo,"Piazza San Babila, Duomo, Municipio 1, Milano, Lombardia, 20122, Italia",45.466374,9.1977066,0,0,0.1,1
Manifestazioni,06-01-19,06-01-19,"Piazza del Duomo, Milano, MI",Piazza Duomo,"Torna il grande ""Corteo dei Magi"": il 6 gennaio la sfilata da piazza Duomo",https://www.milanotoday.it/eventi/corteo-magi-2019.html,Altri eventi,"Piazza del Duomo, Duomo, Municipio 1, Milano, Lombardia, Italia",45.4639102,9.1906398,0,0,0.1,1
Manifestazioni,06-01-19,06-01-19,"Piazza del Duomo, Milano, MI",,Corteo dei Re Magi: domenica 6 gennaio da piazza Duomo a Sant'Eustorgio,https://www.milanotoday.it/eventi/corteo-dei-re-magi-2019.html,Altri eventi,"Piazza del Duomo, Duomo, Municipio 1, Milano, Lombardia, Italia",45.4639102,9.1906398,0,0,0.1,1
Spettacoli,06-01-19,06-01-19,"Corso di Porta Romana 63,20122, Milano, MI,Italia",Carcano,Chefs,https://www.teatro.it/spettacoli/milano/carcano/2018-2019/chefs,Teatro e spettacolo,"Teatro Carcano, 63, Corso di Porta Romana, Crocetta, Municipio 1, Milano, Lombardia, 20121, Italia",45.4566842,9.1955297,0,0,0.10,10
Manifestazioni,06-01-19,06-01-19,"Bastioni di Porta Venezia, Milano, MI",Villaggio delle Meraviglie,La Befana al Villaggio delle Meraviglie: domenica 6 gennaio,https://www.milanotoday.it/eventi/befana-villaggio-meraviglie-2019.html,Altri eventi,"Bastioni di Porta Venezia, Giardini Porta Venezia, Municipio 1, Milano, Lombardia, 20219, Italia",45.4747584,9.2036113,0,0,0.12,12
Spettacoli,06-01-19,06-01-19,"Via Rivoli 6,20121, Milano, MI,Italia",Piccolo Teatro - Studio Melato,La lampada di Aladino,https://www.teatro.it/spettacoli/milano/piccolo-teatro-studio-melato/2018-2019/la-lampada-di-aladino,Teatro e spettacolo,"6, Via Rivoli, Brera, Municipio 1, Milano, Lombardia, 20121, Italia",45.4726093,9.182881,0,0,0.1,1
Incontri,06-01-19,06-01-19,"Piazza della Repubblica, Milano, MI",Hotel Principe di Savoia,"Politici, magistrati e comici servono i senzatetto: torna la 'Befana dei clochard'",https://www.milanotoday.it/eventi/befana-dei-clochard-2018.html,Formazione e networking,"Piazza della Repubblica, Centrale, Municipio 2, Milano, Lombardia, 20124, Italia",45.4798616,9.1986203,0,0,0.13,13
Spettacoli,06-01-19,06-01-19,"C.so Matteotti,20,20121, Milano, MI,Italia",Nuovo,Kinky Boots,https://www.teatro.it/spettacoli/milano/nuovo/2018-2019/kinky-boots,Teatro e spettacolo,"20, Corso Giacomo Matteotti, Duomo, Municipio 1, Milano, Lombardia, 20121, Italia",45.4667336,9.1967703,0,0,0.1,1
Spettacoli,06-01-19,06-01-19,"Corso Buenos Aires 33,20124, Milano, MI,Italia",Elfo Puccini - Sala Bausch,Una patatina nello zucchero,https://www.teatro.it/spettacoli/milano/elfo-puccini-sala-bausch/2018-2019/una-patatina-nello-zucchero,Teatro e spettacolo,"Teatro Elfo Puccini, 33, Corso Buenos Aires, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20124, Italia",45.4794317,9.2098387,0,0,0.3,3
Cinema,03-02-19,07-01-19,"Viale Vittorio Veneto, Milano, MI",Cinema Spazio Oberdan,Rassegna di Orson Welles: dal 7 gennaio al 3 febbraio presso il Cinema Spazio Oberdan,https://www.milanotoday.it/eventi/rassegna-orson-welles-2019.html,Arte e cultura,"Viale Vittorio Veneto, Centrale, Municipio 2, Milano, Lombardia, 20124, Italia",45.4776637,9.1987179,0,0,0.13,13
Spettacoli,07-01-19,07-01-19,"Via Giordano Rota 1,20145, Milano, MI,Italia",Nazionale Italiana Assicurazioni,Lo Schiaccianoci,https://www.teatro.it/spettacoli/milano/nazionale-chebanca/2018-2019/lo-schiaccianoci,Teatro e spettacolo,"20145, Italy",45.4643,9.1895,0,0,0.1,1
Spettacoli,08-01-19,08-01-19,"Via Filodrammatici 2,20121, Milano, MI,Italia",Teatro Alla Scala,Attila,https://www.teatro.it/spettacoli/milano/teatro-alla-scala/2018-2019/attila,Teatro e spettacolo,"2, Via Filodrammatici, Brera, Milano, Lombardia, 20121, Italia",45.4673781,9.188701,0,0,0.1,1
Spettacoli,08-01-19,08-01-19,"Via Alessandro Manzoni 42,20121, Milano, MI,Italia",Manzoni,La vedova allegra,https://www.teatro.it/spettacoli/milano/manzoni/2018-2019/la-vedova-allegra,Teatro e spettacolo,"Teatro Manzoni, 42, Via Alessandro Manzoni, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710286,9.1944762,0,0,0.9,9
Mostre,31-01-19,10-01-19,"Via Voghera, 14, Milano, MI",MADE4ART,Guido Alimento. Inverno in quota,https://www.milanotoday.it/eventi/guido-alimento-inverno-in-quota.html,Arte e cultura,"14, Via Voghera, Tortona, Municipio 6, Milano, Lombardia, 20144, Italia",45.454295,9.1674959,0,0,0.5,5
Mostre,02-02-19,10-01-19,"Foro Buonaparte, Milano, MI",Fondazione Matalon,"""Il mio Giappone"": dal 10 gennaio al 2 febbraio presso la Fondazione Matalon",https://www.milanotoday.it/eventi/mio-giappone-mostra.html,Arte e cultura,"Foro Buonaparte, Brera, Municipio 1, Milano, Lombardia, 20121, Italia",45.4692135,9.1831849,0,0,0.1,1
Concerti,12-01-19,11-01-19,"Piazza del Duomo, Milano, MI",Piazza Duomo,"""Cantata anarchica"" e ballata in piazza: una sera e una notte in onore di De Andrè a Milano",https://www.milanotoday.it/eventi/concerto-de-andre-duomo.html,Musica e vita notturna,"Piazza del Duomo, Duomo, Municipio 1, Milano, Lombardia, Italia",45.4639102,9.1906398,0,0,0.1,1
Mostre,15-09-19,11-01-19,"Piazza San Sepolcro, Milano, MI",Cripta di San Sepolcro,Leonardo & Warhol | The genius experience,https://www.milanotoday.it/eventi/leonardo-warhol-the-genius-experience.html,Arte e cultura,"Piazza San Sepolcro, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20123, Italia",45.462935,9.1852031,0,0,0.1,1
Spettacoli,11-01-19,11-01-19,"Corso Venezia 2/A,20121, Milano, MI,Italia",San Babila,Doppia Coppia,https://www.teatro.it/spettacoli/milano/san-babila/2018-2019/doppia-coppia,Teatro e spettacolo,"2a, Corso Venezia, Duomo, Municipio 1, Milano, Lombardia, 20121, Italia",45.4670204,9.1981104,0,0,0.1,1
,11-01-19,11-01-19,"Via Giosuè Borsi, 9, Milano, MI",Apollo Club,"""Cassius dj set"": venerdì 11 gennaio da Rollover",https://www.milanotoday.it/eventi/cassius-dj-set-rollover.html,Non classificato,"9, Via Giosuè Borsi, Navigli, Municipio 6, Milano, Lombardia, 20143, Italia",45.4474144,9.1736183,0,0,0.14,14
Disco&Feste,11-01-19,11-01-19,"Via Alessio di Tocqueville, Milano, MI",Club House,"""Club House 80's"": venerdì 11 gennaio al Club House",https://www.milanotoday.it/eventi/club-house-80-s-2019.html,Musica e vita notturna,"Via Alessio di Tocqueville, GARIBALDI REPUBBLICA, Municipio 9, Milano, Lombardia, 20100, Italia",45.4824798,9.1868137,0,0,0.1,1
