categoria,data_fine,data_inizio,indirizzo,luogo,titolo,url,macro_categoria,geocoded_address,lat,long,cluster,subcluster,hierarchical_id,subsubcluster
Spettacoli,23-06-23,23-06-23,"Corso Buenos Aires 33,20124, Milano, MI,Italia",Elfo Puccini - sala Shakespeare,Lemnos,https://www.teatro.it/spettacoli/milano/elfo-puccini-sala-shakespeare/2022-2023/lemnos,Teatro e spettacolo,"Teatro Elfo Puccini, 33, Corso Buenos Aires, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20124, Italia",45.4794317,9.2098387,0,0,0.3,3
Spettacoli,23-06-23,23-06-23,"Corso Buenos Aires,33,20124, Milano, MI,Italia",Teatro Elfo Puccini - sala Fassbinder,Giusto,https://www.teatro.it/spettacoli/milano/teatro-elfo-puccini-sala-fassbinder/2022-2023/giusto,Teatro e spettacolo,"Teatro Elfo Puccini, 33, Corso Buenos Aires, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20124, Italia",45.4794317,9.2098387,0,0,0.3,3
Spettacoli,23-06-23,23-06-23,"Corso Buenos Aires 33,20124, Milano, MI,Italia",Elfo Puccini - sala Shakespeare,Sherpa,https://www.teatro.it/spettacoli/milano/elfo-puccini-sala-shakespeare/2022-2023/sherpa,Teatro e spettacolo,"Teatro Elfo Puccini, 33, Corso Buenos Aires, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20124, Italia",45.4794317,9.2098387,0,0,0.3,3
Teatri,30-06-23,23-06-23,"Via Rivoli, 6, Milano, MI",Piccolo Teatro Strehler,Passione e balli sfrenati al Milano Flamenco Festival,https://www.milanotoday.it/eventi/milano-flamenco-festival-2023.html,Teatro e spettacolo,"6, Via Rivoli, Brera, Municipio 1, Milano, Lombardia, 20121, Italia",45.4726093,9.182881,0,0,0.1,1
,23-06-23,23-06-23,"Piazza Castello, Milano, MI",sala consiliare,"Ad Abbiategrasso, assemblea cittadina sulla sanità",https://www.milanotoday.it/eventi/ad-abbiategrasso-assemblea-cittadina-2023.html,Non classificato,"Piazza Castello, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, Italia",45.4704699,9.1819129,0,0,0.1,1
,07-07-23,23-06-23,"Via Voghera, 9, Milano, MI",Fumo Gallery,Abstract vs new figurative art,https://www.milanotoday.it/eventi/abstract-figurative-art.html,Non classificato,"Teatri Possibili, 9, Via Voghera, Tortona, Municipio 6, Milano, Lombardia, 20144, Italia",45.4542518,9.1675836,0,0,0.5,5
Convegno/conferenza,23-06-23,23-06-23,"Via Sant'Antonio, 5, Milano, MI","Università degli Studi di Milano, Sala Pio XII",Arturo Swarz e la sua eredità: dalla tutela alla valorizzazione,,Formazione e networking,"5, Via Sant'Antonio, Duomo, Municipio 1, Milano, Lombardia, 20122, Italia",45.4614519,9.1934697,0,0,0.1,1
Manifestazioni,25-06-23,24-06-23,"Via Palestro, Milano, MI",Giardini Indro Montanelli,Bike night milano-lago,https://www.milanotoday.it/eventi/bike-night-milano-lago.html,Altri eventi,"Via Palestro, Giardini Porta Venezia, Municipio 1, Milano, Lombardia, 20219, Italia",45.4722109,9.2017814,0,0,0.28,28
Disco&Feste,24-06-23,24-06-23,"Viale Emilio Alemagna, 6, Milano, MI",La Triennale di Milano,La festa di Le Cannibale in Triennale con musica elettronica,https://www.milanotoday.it/eventi/festa-le-cannibale-triennale-musica-elettronica.html,Musica e vita notturna,"Triennale Design Museum, 6, Viale Emilio Alemagna, Parco Sempione, Municipio 1, Milano, Lombardia, 20121, Italia",45.4721477,9.1734894,0,0,0.4,4
Manifestazioni,24-06-23,24-06-23,"Via Vittor Pisani, Milano, MI",Stazione Centrale,"Milano Pride 2023, orari e percorso",https://www.milanotoday.it/eventi/milano-pride-2023.html,Altri eventi,"Via Vittor Pisani, Centrale, Municipio 2, Milano, Lombardia, 20124, Italia",45.4817141,9.2002802,0,0,0.13,13
Spettacoli,24-06-23,24-06-23,"Piazza Castello,20121, Milano, MI,Italia",Castello Sforzesco,"Vieni avanti, cretina!",https://www.teatro.it/spettacoli/milano/castello-sforzesco/2022-2023/vieni-avanti-cretina,Teatro e spettacolo,"Piazza Castello, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710309,9.1814326,0,0,0.1,1
Cibo e Vino,25-06-23,24-06-23,"Corso Venezia, 47, Milano, MI",Palazzo Castiglioni,"Chocolove, la grande festa del gelato al cioccolato arriva a Milano",https://www.milanotoday.it/eventi/chocolove-festival-gelato-cioccolato.html,Enogastronomia,"47, Corso Venezia, Guastalla, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710655,9.2013574,0,0,0.28,28
Spettacoli,25-06-23,25-06-23,"Corso di Porta Romana 63,20122, Milano, MI,Italia",Carcano,Il sogno di Radha - Bollywood Musical,https://www.teatro.it/spettacoli/milano/carcano/2022-2023/il-sogno-di-radha-bollywood-musical,Teatro e spettacolo,"Teatro Carcano, 63, Corso di Porta Romana, Crocetta, Municipio 1, Milano, Lombardia, 20121, Italia",45.4566842,9.1955297,0,0,0.10,10
Concerti,25-06-23,25-06-23,"Largo Gustav Mahler, Milano, MI","Auditorium di Milano Fondazione Cariplo, POSTI ESAURITI",PerEnnio concerto omaggio a Morricone per il progetto Musica e Salute,https://www.milanotoday.it/eventi/concerto-morricone-musica-e-salute.html,Musica e vita notturna,"Largo Gustav Mahler, Ticinese, Municipio 5, Milano, Lombardia, 20136, Italia",45.4463151,9.1792547,0,0,0.21,21
Spettacoli,26-06-23,26-06-23,"Piazza Castello,20121, Milano, MI,Italia",Castello Sforzesco,GHEMON - E' una cosetta così,https://www.teatro.it/spettacoli/milano/castello-sforzesco/2022-2023/ghemon-e-una-cosetta-cosi,Teatro e spettacolo,"Piazza Castello, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710309,9.1814326,0,0,0.1,1
Convegno/conferenza,26-06-23,26-06-23,"via Brera, 28, Milano, MI",Pinacoteca di Brera - Biblioteca Nazionale Braidense di Milano,- 100 GIORNI E OLTRE Una visione di Brera per il futuro,,Formazione e networking,"Istituto Nazionale di Astrofisica – Osservatorio astronomico di Brera, 28, Via Brera, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4715946,9.1889707,0,0,0.1,1
