categoria,data_fine,data_inizio,indirizzo,luogo,titolo,url,macro_categoria,geocoded_address,lat,long,Cluster
Manifestazioni,28-09-19,2019-09-28,"Via Monte Napoleone, Milano, MI",Via Montenapoleone,Shopping in rosa in Montenapoleone con LILT Milano,https://www.milanotoday.it/eventi/shopping-rosa-montenapoleone-lilt.html,Altri eventi,"Via Monte Napoleone, Duomo, Municipio 1, Milano, Lombardia, 20122, Italia",45.4671347,9.1965125,0
Incontri,29-09-19,2019-09-29,"Viale dell'Innovazione, 20, Milano, MI",Teatro degli Arcimboldi,Torna il concerto del cuore di Gsd foundation,https://www.milanotoday.it/eventi/torna-il-concerto-del-cuore-di-gsd-foundation-2019.html,Formazione e networking,"20, Viale dell'Innovazione, Bicocca, Municipio 9, Milano, Lombardia, 20125, Italia",45.5148696,9.2135963,5
Incontri,29-09-19,2019-09-29,"Via Palestro, Milano, MI",PAC - Padiglione d’arte contemporanea,35° raduno per il Ferrari club Milano,https://www.milanotoday.it/eventi/raduno-ferrari-2019.html,Formazione e networking,"Via Palestro, Giardini Porta Venezia, Municipio 1, Milano, Lombardia, 20219, Italia",45.4722109,9.2017814,9
Incontri,29-09-19,2019-09-29,"Via San Dionigi 80, Milano, MI",location varie,"Arte en plein air paesaggi, scorci e visioni dal territorio di openagri e del suo social lab",https://www.milanotoday.it/eventi/arte-en-plein-air-paesaggi-scorci-2019.html,Formazione e networking,"80, Via San Dionigi, Parco delle Abbazie, Municipio 5, Milano, Lombardia, 20139, Italia",45.4306734,9.225511,9
Concerti,29-09-19,2019-09-29,"Largo Marinai d'Italia, Milano, MI",Palazzina Liberty,"Palazzina Liberty, arriva un appuntamento per i più piccoli con merenda e concerto",https://www.milanotoday.it/eventi/palazzina-liberty-concerto-bambini.html,Musica e vita notturna,"Parco Vittorio Formentano, Municipio 4, Milano, Lombardia, Italia",45.4603042,9.2158439,9
Incontri,29-09-19,2019-09-29,"Via Novara, Milano, MI",Parco di Trenno (Ingresso via Novara),Stramilàncanina,https://www.milanotoday.it/eventi/stramilancanina-associazione.html,Formazione e networking,"Via Novara, Parco Bosco In Città, Municipio 7, Milano, Lombardia, 20153, Italia",45.4818803,9.0946545,1
Manifestazioni,29-09-19,2019-09-29,"Piazza Tre Torri, Milano, MI",City Life,"Corsa, yoga e meditazione: a Milano torna ""Wanderlust 108""",https://www.milanotoday.it/eventi/yoga-e-meditazione-wanderlust-108.html,Altri eventi,"Piazza Tre Torri, Tre Torri, Municipio 8 di Milano, Milano, Lombardia, 20149, Italia",45.4783108,9.1570584,3
Manifestazioni,29-09-19,2019-09-29,"Via Gaetano de Castillia, Milano, MI",Parco Biblioteca degli Alberi,"""Milano Kids Festival"", una domenica dedicata ai bambini tra giochi e laboratori",https://www.milanotoday.it/eventi/festival-biblioteca-alberi.html,Altri eventi,"Via Gaetano De Castillia, Isola, Municipio 9, Milano, Lombardia, 20100, Italia",45.4858553,9.1928992,0
,29-09-19,2019-09-29,"Via Agordat, Milano, MI",Parco Martiri della Libertà Iracheni Vittime del Terrorismo,Il quidditch alla festa dello sport zona 2,https://www.milanotoday.it/eventi/il-quidditch-alla-festa-dello-sport-zona-2.html,Non classificato,"Via Agordat, Padova, Municipio 2, Milano, Lombardia, 20132, Italia",45.5008691,9.2354096,5
Incontri,29-09-19,2019-09-29,"Piazzale Ferdinando Martini 4, Milano, MI",Piazza - fronte civico 4 (sul muretto),Calva plant swap - Green week edition,https://www.milanotoday.it/eventi/calva-plant-swap-green-week-edition.html,Formazione e networking,"Piazzale Ferdinando Martini, Umbria - Molise, Municipio 4, Milano, Lombardia, 20130, Italia",45.4561858,9.2218188,9
,30-09-19,2019-09-30,"Piazza del Duomo 14, Milano, MI",Palazzo Reale,Presentazione della monografia Emilio Scanavino. Come fuoco nella cenere,https://www.milanotoday.it/eventi/presentazione-della-monografia-emilio-scanavino.html,Non classificato,"14, Piazza del Duomo, Duomo, Municipio 1, Milano, Lombardia, 20122, Italia",45.4634716,9.1914622,0
Incontri,30-09-19,2019-09-30,"Corso Venezia, 47, Milano, MI","Sala Colucci, Palazzo Castiglioni Unione Confcommercio Imprese per l’Italia Milano-Lodi-Monza e Brianza",Sussidiarietà e… Pmi per lo sviluppo sostenibile,https://www.milanotoday.it/eventi/sussidiarieta-e-pmi-per-lo-sviluppo-sostenibile.html,Formazione e networking,"47, Corso Venezia, Guastalla, Municipio 1, Milano, Lombardia, 20121, Italia",45.4710655,9.2013574,9
Mostre,02-02-20,2019-10-01,"Via Tortona, 56, Milano, MI",Mudec – Museo delle Culture di Milano,"""Impressioni d'Oriente. Arte e collezionismo tra Europa e Giappone""",https://www.milanotoday.it/eventi/impressioni-oriente-mostra-mudec.html,Arte e cultura,"Mudec, 56, Via Tortona, Tortona, Municipio 6, Milano, Lombardia, 20144, Italia",45.4520455,9.1613185,7
,01-10-19,2019-10-01,"Via dei Calchi Taeggi, 20, Milano, MI",Teatro Puntozero Beccaria di Milano,"""Musi...care"", focus sulle carceri tra musica e confronto: domani tavola rotonda con istituzioni e specialisti e concerto della jc band, per la prima volta al fianco dei ragazzi dell’istituto penale minorile Beccaria di Milano",https://www.milanotoday.it/eventi/musi-care-focus-sulle-carceri-tra-musica.html,Non classificato,"Via dei Calchi Taeggi, Lorenteggio, Municipio 6, Milano, Lombardia, 20152, Italia",45.4525515,9.1107973,3
Mostre,02-02-20,2019-10-01,"Via Tortona, 56, Milano, MI",Mudec,Il Giappone a Milano: a ottobre due mostre sul Sol Levante,https://www.milanotoday.it/eventi/volti-giappone-mostra.html,Arte e cultura,"Mudec, 56, Via Tortona, Tortona, Municipio 6, Milano, Lombardia, 20144, Italia",45.4520455,9.1613185,7
Mostre,02-02-20,2019-10-01,"Via Tortona, 56, Milano, MI",Mudec,'Impressioni d’oriente': la mostra del Mudec sull'arte tra Giappone ed Europa,https://www.milanotoday.it/eventi/impressioni-d-oriente-mostra.html,Arte e cultura,"Mudec, 56, Via Tortona, Tortona, Municipio 6, Milano, Lombardia, 20144, Italia",45.4520455,9.1613185,7
