categoria,data_fine,data_inizio,indirizzo,luogo,titolo,url,macro_categoria,geocoded_address,lat,long,Cluster
Spettacoli,17-01-21,2021-01-17,"Corso Buenos Aires,33,20124, Milano, MI,Italia",Teatro Elfo Puccini - sala Fassbinder,I figli della frettolosa,https://www.teatro.it/spettacoli/milano/teatro-elfo-puccini-sala-fassbinder/2020-2021/i-figli-della-frettolosa,Teatro e spettacolo,"Teatro Elfo Puccini, 33, Corso Buenos Aires, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20124, Italia",45.4794317,9.2098387,0
Spettacoli,17-01-21,2021-01-17,"Via Boltraffio 21,20159, Milano, MI,Italia",Fontana,Chi ruba un piede è fortunato in amore,https://www.teatro.it/spettacoli/milano/fontana/2020-2021/chi-ruba-un-piede-e-fortunato-in-amore,Teatro e spettacolo,"21, Via Gian Antonio Boltraffio, Isola, Municipio 9, Milano, Lombardia, 20159, Italia",45.4921952,9.1878419,2
Spettacoli,17-01-21,2021-01-17,"Via Orcagna 2,20131, Milano, MI,Italia",No'hma Teresa Pomodoro,OFFelia,https://www.teatro.it/spettacoli/milano/nohma-teresa-pomodoro/2020-2021/offelia,Teatro e spettacolo,"2, Via Andrea Orcagna, Città Studi, Municipio 3, Milano, Lombardia, 20131, Italia",45.4812196,9.2281055,0
Spettacoli,20-01-21,2021-01-20,"via Pier Lombardo,14,20135, Milano, MI,Italia",Franco Parenti - Sala Grande,L'onore perduto di Katharina Blum,https://www.teatro.it/spettacoli/milano/franco-parenti-sala-grande/2020-2021/lonore-perduto-di-katharina-blum,Teatro e spettacolo,"Via Pier Lombardo, Porta Romana, Municipio 4, Milano, Lombardia, 20135, Italia",45.4542958,9.2063109,0
Seminario,20-02-21,2021-01-20,"Via Senato, 10, Milano, MI",Archivio di Stato di Milano,"Presentazione live streaming volume ""Records Management. ISO 15489: progettare sistemi documentali""",,Formazione e networking,"10, Via Senato, Guastalla, Municipio 1, Milano, Lombardia, 20121, Italia",45.4700976,9.1981223,8
Incontri,24-01-21,2021-01-24,"Via Giovanni Battista Boeri, 3, Milano, MI",Opera Cardinal Ferrari,100 anni dalla firma costitutiva dell'opera cardinal ferrari storico centro d'accoglienza milanese,https://www.milanotoday.it/eventi/100-anni-dalla-firma-costitutiva-dell-opera-cardinal-ferrari.html,Formazione e networking,"Via Giovanni Battista Boeri, Tibaldi, Municipio 5, Milano, Lombardia, 20136, Italia",45.43812,9.1863084,6
Spettacoli,24-01-21,2021-01-24,"Via Rivoli 6,20121, Milano, MI,Italia",Piccolo Teatro - Studio Melato,Natale in casa Cupiello,https://www.teatro.it/spettacoli/milano/piccolo-teatro-studio-melato/2020-2021/natale-in-casa-cupiello,Teatro e spettacolo,"6, Via Rivoli, Brera, Municipio 1, Milano, Lombardia, 20121, Italia",45.4726093,9.182881,8
Spettacoli,24-01-21,2021-01-24,"Via Orcagna 2,20131, Milano, MI,Italia",No'hma Teresa Pomodoro,Largo al factotum,https://www.teatro.it/spettacoli/milano/nohma-teresa-pomodoro/2020-2021/largo-al-factotum,Teatro e spettacolo,"2, Via Andrea Orcagna, Città Studi, Municipio 3, Milano, Lombardia, 20131, Italia",45.4812196,9.2281055,0
Seminario,27-02-21,2021-01-27,"Via Senato, 10, Milano, MI",Archivio di Stato di Milano,Seminario “I calzini «nuovi» del principe Carlo. La classificazione in archivistica e il progetto Titulus” - Live streaming,,Formazione e networking,"10, Via Senato, Guastalla, Municipio 1, Milano, Lombardia, 20121, Italia",45.4700976,9.1981223,8
Altro,13-05-21,2021-01-27,"Via Senato, Milano, MI",Soprintendenza Archivistica e Bibliografica della Lombardia,BaSe Bacheca Semiologica,,Altri eventi,"Via Senato, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4714266,9.1962309,8
Mostre,10-02-21,2021-01-27,"Via Melzo, 30, Milano, MI",gli eroici furori,Risveglio - Simona Uberto,https://www.milanotoday.it/eventi/risveglio-simona-uberto-simona-uberto.html,Arte e cultura,"La Teiera Eclettica, 30, Via Melzo, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20129, Italia",45.4751952,9.2080791,0
Incontri,11-02-21,2021-01-27,"Via Piero della Francesca, Milano, MI",On line,Corso di dizione con Fabrizio Croci,https://www.milanotoday.it/eventi/corso-dizione-fabrizio-croci.html,Formazione e networking,"Via Piero della Francesca, Sarpi, Bullona, Municipio 8 di Milano, Milano, Lombardia, 20155, Italia",45.4837691,9.1640902,2
Incontri,20-02-21,2021-01-27,"Via Giuseppe Verdi, 9, Milano, MI",Vizzolo al futuro,Giorno della memoria: mostra fotografia di Iliza Ugliano,https://www.milanotoday.it/eventi/giorno-della-memoria-mostra-fotografia-di-iliza-ugliano-2021.html,Formazione e networking,"9, Via Giuseppe Verdi, Brera, Municipio 1, Milano, Lombardia, 20121, Italia",45.4687575,9.1883373,8
Incontri,28-01-21,2021-01-27,"Via Privata Stefanardo da Vimercate, Milano, MI",online,La seconda opportunità: parlano i ragazzi,https://www.milanotoday.it/eventi/seconda-opportunita-parlano-ragazzi.html,Formazione e networking,"Via privata Stefanardo da Vimercate, Viale Monza, Municipio 2, Milano, Lombardia, 20128, Italia",45.5064524,9.2266047,4
Spettacoli,28-01-21,2021-01-28,"Via Hermada,8,20162, Milano, MI,Italia",della Cooperativa,I me ciamava per nome: 44787,https://www.teatro.it/spettacoli/milano/della-cooperativa/2020-2021/i-me-ciamava-per-nome-44787,Teatro e spettacolo,"8, Via privata Hermada, Niguarda - Cà Granda, Municipio 9, Milano, Lombardia, 20162, Italia",45.5147872,9.1901457,4
Spettacoli,28-01-21,2021-01-28,"Via Orcagna 2,20131, Milano, MI,Italia",No'hma Teresa Pomodoro,L'amico di Fred,https://www.teatro.it/spettacoli/milano/nohma-teresa-pomodoro/2020-2021/lamico-di-fred,Teatro e spettacolo,"2, Via Andrea Orcagna, Città Studi, Municipio 3, Milano, Lombardia, 20131, Italia",45.4812196,9.2281055,0
Spettacoli,31-01-21,2021-01-31,"via Pitteri 58,20134, Milano, MI,Italia",Martinitt,Luci (e ombre) della ribalta,https://www.teatro.it/spettacoli/milano/martinitt/2020-2021/luci-e-ombre-della-ribalta,Teatro e spettacolo,"Via Riccardo Pitteri, Lambrate, Municipio 3, Milano, Lombardia, 20134, Italia",45.4798362,9.2457864,7
Spettacoli,31-01-21,2021-01-31,"Corso Buenos Aires,33,20124, Milano, MI,Italia",Teatro Elfo Puccini - sala Fassbinder,Himmelweg (la via del cielo),https://www.teatro.it/spettacoli/milano/teatro-elfo-puccini-sala-fassbinder/2020-2021/himmelweg-la-via-del-cielo,Teatro e spettacolo,"Teatro Elfo Puccini, 33, Corso Buenos Aires, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20124, Italia",45.4794317,9.2098387,0
Mostre,30-03-21,2021-02-02,"Via Comelico, 40, Milano, MI",Dep Art Gallery,Regine Schumann. Chromasophia,https://www.milanotoday.it/eventi/regine-schumann-chromasophia-regine-schumann-2021.html,Arte e cultura,"Via Comelico, XXII Marzo, Municipio 4, Milano, Lombardia, 20135, Italia",45.4542938,9.2144305,0
Incontri,12-02-21,2021-02-03,"Via del Vecchio Politecnico, 3, Milano, MI",Istituto Svizzero,'The most beautiful swiss books,https://www.milanotoday.it/eventi/the-most-beautiful-swiss-books-2021.html,Formazione e networking,"3, Via del Vecchio Politecnico, Guastalla, Municipio 1, Milano, Lombardia, 20121, Italia",45.4724248,9.1964505,8
Incontri,12-02-21,2021-02-03,"Via del Vecchio Politecnico, 3, Milano, MI",Istituto Svizzero,Reopening: 'the most beautiful swiss books',https://www.milanotoday.it/eventi/reopening-the-most-beautiful-swiss-books-2021.html,Formazione e networking,"3, Via del Vecchio Politecnico, Guastalla, Municipio 1, Milano, Lombardia, 20121, Italia",45.4724248,9.1964505,8
Seminario,03-02-21,2021-02-03,"Via Senato, 10, Milano, MI",Archivio di Stato di Milano,Seminario “Standard e software per la descrizione archivistica” - live streaming,,Formazione e networking,"10, Via Senato, Guastalla, Municipio 1, Milano, Lombardia, 20121, Italia",45.4700976,9.1981223,8
Spettacoli,07-02-21,2021-02-07,"Corso Buenos Aires 33,20124, Milano, MI,Italia",Elfo Puccini - Sala Bausch,Io lavoro per la morte,https://www.teatro.it/spettacoli/milano/elfo-puccini-sala-bausch/2020-2021/io-lavoro-per-la-morte,Teatro e spettacolo,"Teatro Elfo Puccini, 33, Corso Buenos Aires, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20124, Italia",45.4794317,9.2098387,0
Spettacoli,07-02-21,2021-02-07,"Via Pier Lombardo 14,20135, Milano, MI,Italia",Franco Parenti - Sala Blu,L'angelo di Kobane,https://www.teatro.it/spettacoli/milano/franco-parenti-sala-acomea/2020-2021/langelo-di-kobane,Teatro e spettacolo,"Via Pier Lombardo, Porta Romana, Municipio 4, Milano, Lombardia, 20135, Italia",45.4542958,9.2063109,0
Mostre,30-06-21,2021-02-09,"Piazza Castello, Milano, MI","Castello Sforzesco, Cortile delle Armi",Il Castello Sforzesco rende omaggio a Raffaello con una grande collezione di opere,https://www.milanotoday.it/eventi/mostra-raffaello-castello-sforzesco.html,Arte e cultura,"Piazza Castello, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, Italia",45.4704699,9.1819129,8
Nuova Apertura,15-02-21,2021-02-09,"piazza Santa Maria delle Grazie, 2, Milano, MI",Cenacolo Vinciano,Il Museo del Cenacolo riapre al pubblico,,Inaugurazioni,"Museo del Cenacolo Vinciano, 2, Piazza Santa Maria delle Grazie, Magenta - San Vittore, Municipio 1, Milano, Lombardia, 20123, Italia",45.4662047,9.170655,8
Mostre,20-06-21,2021-02-09,"Via Tortona, 56, Milano, MI",Mudec - Museo delle Culture Milano,La grande strada Inca in mostra al Mudec,https://www.milanotoday.it/eventi/mostra-inca-mudec.html,Arte e cultura,"Mudec, 56, Via Tortona, Tortona, Municipio 6, Milano, Lombardia, 20144, Italia",45.4520455,9.1613185,6
Webinar,10-02-21,2021-02-10,"Via Senato, 10, Milano, MI",Archivio di Stato di Milano,"Webinar mostra “Fiume tra nazionalismo conservatore, progetti rivoluzionari e immaginazione al potere. Il sostegno dei milanesi a Gabriele d’Annunzio”",,Eventi digitali,"10, Via Senato, Guastalla, Municipio 1, Milano, Lombardia, 20121, Italia",45.4700976,9.1981223,8
,24-02-21,2021-02-10,"Via Privata Passo Pordoi, 7/3, Milano, MI",HUB/ART,Ars gratia artis III,https://www.milanotoday.it/eventi/ars-gratia-artis-iii-2021.html,Non classificato,"Via Passo Pordoi, Scalo Romana, Municipio 5, Milano, Lombardia, 20139, Italia",45.4364043,9.2092881,0
Mostre,24-02-21,2021-02-10,"Via Privata Passo Pordoi, 7/3, Milano, MI",Hub/Art,Ars gratia artis III,https://www.milanotoday.it/eventi/ars-gratia-artis-III.html,Arte e cultura,"Via Passo Pordoi, Scalo Romana, Municipio 5, Milano, Lombardia, 20139, Italia",45.4364043,9.2092881,0
Spettacoli,11-02-21,2021-02-11,"Via Orcagna 2,20131, Milano, MI,Italia",No'hma Teresa Pomodoro,Mille bolle blu,https://www.teatro.it/spettacoli/milano/nohma-teresa-pomodoro/2020-2021/mille-bolle-blu,Teatro e spettacolo,"2, Via Andrea Orcagna, Città Studi, Municipio 3, Milano, Lombardia, 20131, Italia",45.4812196,9.2281055,0
,12-03-21,2021-02-11,"Via Benedetto Marcello, 46, Milano, MI",Galleria Manifiesto Blanco,Mostra bill & the city - William magruder @ manifiesto blanco,https://www.milanotoday.it/eventi/mostra-bill-the-city-william-2021--.html,Non classificato,"Manifiesto Blanco, 46, Via Benedetto Marcello, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20124, Italia",45.4830737,9.2106807,0
Mostre,11-04-21,2021-02-11,"Piazza della Scala, 6, Milano, MI",Gallerie d'Italia,Alle Gallerie d'Italia una mostra sulla Milano sospesa del lockdown,https://www.milanotoday.it/eventi/mostra-lockdown-milano.html,Arte e cultura,"Gallerie d'Italia, 6, Piazza della Scala, Duomo, Municipio 1, Milano, Lombardia, 20121, Italia",45.467265,9.1905257,8
Incontri,19-02-21,2021-02-12,"Piazza Riccardo Wagner, 2, Milano, MI",iSemprevivi,L’associazione Isemprevivi+onlus presenta la cooperativa di lavoro “la luce di Carlotta”,https://www.milanotoday.it/eventi/l-associazione-isemprevivi-onlus-2021.html,Formazione e networking,"Piazza Riccardo Wagner, Pagano, Municipio 7, Milano, Lombardia, 20145, Italia",45.4681615,9.1561888,2
,12-03-21,2021-02-12,"Via Giuseppe Verdi, 8, Milano, MI",Vizzolo al futuro,Adotta un'arnia,https://www.milanotoday.it/eventi/adotta-un-arnia-enrico-gatti-2021.html,Non classificato,"8, Via Giuseppe Verdi, Brera, Municipio 1, Milano, Lombardia, 20121, Italia",45.4683014,9.1890175,8
Mostre,10-04-21,2021-02-13,"Via Gaetano de Castillia, 26, Milano, MI",Stecca 3.0,Correlazioni: legami di rame 2021,https://www.milanotoday.it/eventi/correlazioni-legami-di-rame-2021.html,Arte e cultura,"Ciclofficina Stecca - Associazione +bc, 26, Via Gaetano De Castillia, Isola, Municipio 9, Milano, Lombardia, 20124, Italia",45.4851127,9.1925868,8
Teatri,14-02-21,2021-02-14,"Via Spoleto, 4, Milano, MI",ReKlama Tv | Streaming,"Francesca Puglisi: ""il meglio di me"" a teatro 2.0 live streaming",https://www.milanotoday.it/eventi/francesca-puglisi-2021.html,Teatro e spettacolo,"4, Via Spoleto, Loreto, Municipio 2, Milano, Lombardia, 20127, Italia",45.4954582,9.2163813,4
Spettacoli,14-02-21,2021-02-14,"Via Rivoli 6,20121, Milano, MI,Italia",Piccolo Teatro - Studio Melato,Maggio 43,https://www.teatro.it/spettacoli/milano/piccolo-teatro-studio-melato/2020-2021/maggio-43,Teatro e spettacolo,"6, Via Rivoli, Brera, Municipio 1, Milano, Lombardia, 20121, Italia",45.4726093,9.182881,8
Spettacoli,14-02-21,2021-02-14,"Corso di Porta Romana 63,20122, Milano, MI,Italia",Carcano,Sherlock Holmes e i delitti di Jack lo Squartatore,https://www.teatro.it/spettacoli/milano/carcano/2020-2021/sherlock-holmes-e-i-delitti-di-jack-lo-squartatore,Teatro e spettacolo,"Teatro Carcano, 63, Corso di Porta Romana, Crocetta, Municipio 1, Milano, Lombardia, 20121, Italia",45.4566842,9.1955297,8
Spettacoli,14-02-21,2021-02-14,"via Pier Lombardo 14,20135, Milano, MI,Italia",Franco Parenti - Sala 3,Settanta volte sette,https://www.teatro.it/spettacoli/milano/franco-parenti-sala-3/2020-2021/settanta-volte-sette,Teatro e spettacolo,"Via Pier Lombardo, Porta Romana, Municipio 4, Milano, Lombardia, 20135, Italia",45.4542958,9.2063109,0
Spettacoli,14-02-21,2021-02-14,"Via Boltraffio 21,20159, Milano, MI,Italia",Fontana,Valzer per un mentalista,https://www.teatro.it/spettacoli/milano/fontana/2020-2021/valzer-per-un-mentalista,Teatro e spettacolo,"21, Via Gian Antonio Boltraffio, Isola, Municipio 9, Milano, Lombardia, 20159, Italia",45.4921952,9.1878419,2
Mostre,15-02-21,2021-02-15,"San Siro, Milano, MI",Stadio San Siro,"Lukaku vs Ibrahimović ""face to face – heart to heart""",https://www.milanotoday.it/eventi/lukaku-vs-ibrahimovi-face-to-face-heart-to-heart-2021.html,Arte e cultura,"Stadio Giuseppe Meazza, Via dei Piccolomini, San Siro, Municipio 7, Milano, Lombardia, 20148, Italia",45.4782003,9.123964,9
Mostre,19-09-21,2021-02-16,"Via Palestro, 14, Milano, MI",PAC - Padiglione d’arte contemporanea,Le opere dell'artista Luisa Lambri in una mostra speciale al PAC,https://www.milanotoday.it/eventi/mostra-luisa-lambri-pac.html,Arte e cultura,"14, Via Palestro, Guastalla, Municipio 1, Milano, Lombardia, 20121, Italia",45.4729115,9.1995282,8
Incontri,16-02-21,2021-02-16,"Via Monte Napoleone, Milano, MI",Online su zoom,Future food system networks,https://www.milanotoday.it/eventi/future-food-system-networks-2021.html,Formazione e networking,"Via Monte Napoleone, Duomo, Municipio 1, Milano, Lombardia, 20122, Italia",45.4671347,9.1965125,8
Mostre,20-03-21,2021-02-16,"Corso Plebisciti, 12, Milano, MI",Osart Gallery,"Prorogata: ""libertà sulla parola""",https://www.milanotoday.it/eventi/prorogata-liberta-sulla-parola-2021.html,Arte e cultura,"Corso Plebisciti, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20129, Italia",45.4681056,9.2179035,0
Mostre,18-07-21,2021-02-17,"Via Chiese, 2, Milano, MI",Hangar Bicocca,Un parco divertimenti 'hightech': la mostra di Beloufa all'Hangar Bicocca,https://www.milanotoday.it/eventi/mostra-hangar-bicocca-beloufa.html,Arte e cultura,"Iuta Bistrot, 2, Via Chiese, Bicocca, Municipio 9, Milano, Lombardia, 20126, Italia",45.5209859,9.21927,4
Mostra,31-12-21,2021-02-17,"Via Brera, 28, Milano, MI",Pinacoteca di Brera,Le Fantasie di Mafai,,Arte e cultura,"Istituto Nazionale di Astrofisica – Osservatorio astronomico di Brera, 28, Via Brera, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4715946,9.1889707,8
Seminario,17-02-21,2021-02-17,"Via Senato, 10, Milano, MI",Archivio di Stato di Milano,Seminario: L’utilizzo delle fonti nella ricerca genealogica e familiare. Il caso del film documentario “Un’ora sola ti vorrei” di Alina Marazzi.,,Formazione e networking,"10, Via Senato, Guastalla, Municipio 1, Milano, Lombardia, 20121, Italia",45.4700976,9.1981223,8
Mostra,31-12-21,2021-02-17,"Via Brera, 28, Milano, MI",Pinacoteca di Brera,Le Fantasie di Mafai,,Arte e cultura,"Istituto Nazionale di Astrofisica – Osservatorio astronomico di Brera, 28, Via Brera, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4715946,9.1889707,8
Incontri,19-02-21,2021-02-19,"Via Camillo Finocchiaro Aprile, 14, Milano, MI",UNITRE Milano,Seminario - Riflessioni sulla sanità in emergenza - 19 febbraio ore 17.15-googlemeet,https://www.milanotoday.it/eventi/seminario-riflessioni-sulla-sanita.html,Formazione e networking,"14, Via Camillo Finocchiaro Aprile, Centrale, Municipio 2, Milano, Lombardia, 20124, Italia",45.4788206,9.199894,8
Mostre,05-03-21,2021-02-19,"Via Carlo Tenca, 11, Milano, MI",galleria cael,Change the way,https://www.milanotoday.it/eventi/change-the-way-2021.html,Arte e cultura,"11, Via Carlo Tenca, Centrale, Municipio 2, Milano, Lombardia, 20124, Italia",45.4806693,9.2017813,0
Mostre,09-03-21,2021-02-19,"Via Giuseppe Dall'Occo, 1, Milano, MI",Galleria Click Art,"""Ordine & caos"" mostra collettiva di pittura",https://www.milanotoday.it/eventi/ordine-caos-mostra-collettiva-di-pittura-2021.html,Arte e cultura,"Via Giuseppe Dall'Occo, Cormano, Zona Omogenea Milano Nord, Milano, Lombardia, 20032, Italia",45.5444599,9.1691639,4
Mostre,05-03-21,2021-02-19,"Via Giuseppe Mazzini, 9, Milano, MI",villa Casati,Mostra di Natalia Tyurkina (pittura olio su tela),https://www.milanotoday.it/eventi/mostra-di-natalia-tyurkina-2021.html,Arte e cultura,"9, Via Giuseppe Mazzini, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4622753,9.1887546,8
Spettacoli,20-02-21,2021-02-20,"Via Filodrammatici 2,20121, Milano, MI,Italia",Teatro Alla Scala,Salome,https://www.teatro.it/spettacoli/milano/teatro-alla-scala/2020-2021/salome,Teatro e spettacolo,"2, Via Filodrammatici, Brera, Milano, Lombardia, 20121, Italia",45.4676198,9.1884287,8
Teatri,28-05-21,2021-02-20,"Via Jacopo dal Verme, 16, Milano, MI",Isolacasateatro,Teatro utile 2021 - Accademia dei filodrammatici di Milano,https://www.milanotoday.it/eventi/teatro-utile-2021-accademia-dei-filodrammatici-2021.html,Teatro e spettacolo,"Panificio Angela, 16, Via Jacopo Dal Verme, Isola, Municipio 9, Milano, Lombardia, 20159, Italia",45.4872494,9.188647,2
Spettacoli,21-02-21,2021-02-21,"Corso Buenos Aires 33,20124, Milano, MI,Italia",Elfo Puccini - Sala Bausch,Cabaret Ceronetti,https://www.teatro.it/spettacoli/milano/elfo-puccini-sala-bausch/2020-2021/cabaret-ceronetti,Teatro e spettacolo,"Teatro Elfo Puccini, 33, Corso Buenos Aires, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20124, Italia",45.4794317,9.2098387,0
Spettacoli,21-02-21,2021-02-21,"Via Rovello 2,20121, Milano, MI,Italia",Piccolo Teatro - Teatro Grassi,Misery,https://www.teatro.it/spettacoli/milano/piccolo-teatro-teatro-grassi/2020-2021/misery,Teatro e spettacolo,"2, Via Rovello, Brera, Milano, Lombardia, 20121, Italia",45.4665188,9.1847651,8
Moda,22-02-21,2021-02-22,"Via Alessandro Volta, 7A, Milano, MI",Moscova District Market,"La Private Sale ""Spring preview 2021"" con sconti dal 50% all'80% su top brand uomo donna",https://www.milanotoday.it/eventi/private-sale-sconti-top-uomo-donna.html,Mercati e shopping,"7a, Via Alessandro Volta, Brera, Municipio 1, Milano, Lombardia, 20121, Italia",45.4794117,9.1836722,8
Moda,22-02-21,2021-02-22,"Via Alessandro Volta, 7A, Milano, MI",Moscova District Market,"La Private Sale ""Spring preview 2021"" con sconti dal 50% all'80% su top brand uomo donna",https://www.milanotoday.it/eventi/private-sale-sconti-top-uomo-donna.html,Mercati e shopping,"7a, Via Alessandro Volta, Brera, Municipio 1, Milano, Lombardia, 20121, Italia",45.4794117,9.1836722,8
Moda,22-02-21,2021-02-22,"Via Alessandro Volta, 7A, Milano, MI",Moscova District Market,"La Private Sale ""Spring preview 2021"" con sconti dal 50% all'80% su top brand uomo donna",https://www.milanotoday.it/eventi/private-sale-sconti-top-uomo-donna.html,Mercati e shopping,"7a, Via Alessandro Volta, Brera, Municipio 1, Milano, Lombardia, 20121, Italia",45.4794117,9.1836722,8
Mostre,12-03-21,2021-02-23,"Via Melzo, 30, Milano, MI",gli eroici furori,Correlazioni - Paki Paola Bernardi,https://www.milanotoday.it/eventi/correlazioni-paki-paola-bernardi-paki-paola-bernardi.html,Arte e cultura,"La Teiera Eclettica, 30, Via Melzo, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20129, Italia",45.4751952,9.2080791,0
