categoria,data_fine,data_inizio,indirizzo,luogo,titolo,url,macro_categoria,geocoded_address,lat,long,Cluster
Mostre,01-01-21,2021-01-01,"Piazza San Babila, Milano, MI",Teatro Nuovo,Mostra su Banksy al Teatro Nuovo di Milano: 60 opere e 30 murales a grandezza naturale,https://www.milanotoday.it/eventi/banksy-teatro-nuovo.html,Arte e cultura,"Piazza San Babila, Duomo, Municipio 1, Milano, Lombardia, 20122, Italia",45.466374,9.1977066,8
Iniziative Digitali,31-12-21,2021-01-01,"., Milano, MI",Centro storico,DANTE 2021,,Eventi digitali,"Milano, Lombardia, Italia",45.4641943,9.1896346,8
Mostre,01-01-21,2021-01-01,"Piazza San Babila, Milano, MI",Teatro Nuovo,Mostra su Banksy al Teatro Nuovo di Milano: 60 opere e 30 murales a grandezza naturale,https://www.milanotoday.it/eventi/banksy-teatro-nuovo.html,Arte e cultura,"Piazza San Babila, Duomo, Municipio 1, Milano, Lombardia, 20122, Italia",45.466374,9.1977066,8
Mostre,01-01-21,2021-01-01,"Piazza San Babila, Milano, MI",Teatro Nuovo,Mostra su Banksy al Teatro Nuovo di Milano: 60 opere e 30 murales a grandezza naturale,https://www.milanotoday.it/eventi/banksy-teatro-nuovo.html,Arte e cultura,"Piazza San Babila, Duomo, Municipio 1, Milano, Lombardia, 20122, Italia",45.466374,9.1977066,8
Spettacoli,03-01-21,2021-01-03,"via Pitteri 58,20134, Milano, MI,Italia",Martinitt,B&B: cuori in affitto,https://www.teatro.it/spettacoli/milano/martinitt/2020-2021/bb-cuori-in-affitto,Teatro e spettacolo,"Via Riccardo Pitteri, Lambrate, Municipio 3, Milano, Lombardia, 20134, Italia",45.4791078,9.2461224,7
Spettacoli,03-01-21,2021-01-03,"via Pitteri 58,20134, Milano, MI,Italia",Martinitt,B&B: cuori in affitto,https://www.teatro.it/spettacoli/milano/martinitt/2020-2021/bb-cuori-in-affitto,Teatro e spettacolo,"Via Riccardo Pitteri, Lambrate, Municipio 3, Milano, Lombardia, 20134, Italia",45.4791078,9.2461224,7
Spettacoli,06-01-21,2021-01-06,"Corso Magenta 24,20123, Milano, MI,Italia",MTM - Litta,Cyrano sulla Luna,https://www.teatro.it/spettacoli/milano/litta/2020-2021/cyrano-sulla-luna,Teatro e spettacolo,"Soprintendenza Archeologia, Belle Arti e Paesaggio per la Città Metropolitana  di Milano, 24, Corso Magenta, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20123, Italia",45.4661897,9.1783767,8
Spettacoli,06-01-21,2021-01-06,"Corso Magenta 24,20123, Milano, MI,Italia",MTM - Litta,Cyrano sulla Luna,https://www.teatro.it/spettacoli/milano/litta/2020-2021/cyrano-sulla-luna,Teatro e spettacolo,"Soprintendenza Archeologia, Belle Arti e Paesaggio per la Città Metropolitana  di Milano, 24, Corso Magenta, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20123, Italia",45.4661897,9.1783767,8
Incontri,30-01-21,2021-01-07,"Via Privata Cascia, 6, Milano, MI",Jardino,"""Speculum divinitatis"" - Icone ortodosse",https://www.milanotoday.it/eventi/speculum-divinitatis-icone-ortodosse.html,Formazione e networking,"6, Via Privata Cascia, Adriano, Municipio 2, Milano, Lombardia, 20128, Italia",45.5119899,9.2439487,4
Spettacoli,09-01-21,2021-01-09,"Largo Antonio Greppi,20121, Milano, MI,Italia",Piccolo Teatro - Teatro Strehler,La tragedia del vendicatore,https://www.teatro.it/spettacoli/milano/piccolo-teatro-teatro-strehler/2020-2021/la-tragedia-del-vendicatore,Teatro e spettacolo,"Largo Antonio Greppi, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4718502,9.1827114,8
Spettacoli,09-01-21,2021-01-09,"Largo Antonio Greppi,20121, Milano, MI,Italia",Piccolo Teatro - Teatro Strehler,La tragedia del vendicatore,https://www.teatro.it/spettacoli/milano/piccolo-teatro-teatro-strehler/2020-2021/la-tragedia-del-vendicatore,Teatro e spettacolo,"Largo Antonio Greppi, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, 20121, Italia",45.4718502,9.1827114,8
Incontri,05-02-21,2021-01-10,"Piazza Venticinque Aprile, Milano, MI",on line,Laboratorio gratuito di fotografia contro la violenza,https://www.milanotoday.it/eventi/laboratorio-gratuito-di-fotografia-contro-la-violenza.html,Formazione e networking,"Piazza Venticinque Aprile, Brera, Municipio 9, Milano, Lombardia, 20100, Italia",45.480639,9.1875684,8
,13-01-21,2021-01-13,"Via Enrico Caviglia, 3, Milano, MI",Istituto Italiano di Fotografia,“Skrei. il viaggio” talk online con la fotografa Valentina Tamborra,https://www.milanotoday.it/eventi/skrei-il-viaggio-talk-online-con-la-fotografa-2021.html,Non classificato,"CSDM, 3, Via Enrico Caviglia, Lodi - Corvetto, Municipio 4, Milano, Lombardia, 20139, Italia",45.4428538,9.2307904,0
Spettacoli,14-01-21,2021-01-14,"Via Orcagna 2,20131, Milano, MI,Italia",No'hma Teresa Pomodoro,Dio è morto e neanch'io mi sento tanto bene,https://www.teatro.it/spettacoli/milano/nohma-teresa-pomodoro/2020-2021/dio-e-morto-e-neanchio-mi-sento-tanto-bene,Teatro e spettacolo,"2, Via Andrea Orcagna, Città Studi, Municipio 3, Milano, Lombardia, 20131, Italia",45.4812196,9.2281055,0
