categoria,data_fine,data_inizio,indirizzo,luogo,titolo,url,macro_categoria,geocoded_address,lat,long,cluster,subcluster,hierarchical_id
Cibo e Vino,03-05-19,03-05-19,"Via Cecilio Stazio, 18, Milano, MI",Salumeria del design,"Assaggi gratuiti di focaccia genovese, vino e caffè in via Padova: il tour gastronomico",https://www.milanotoday.it/eventi/tour-gastronomico-assaggi-gratis.html,Enogastronomia,"Salumeria del design, 18, Via Cecilio Stazio, Nolo, Municipio 2, Milano, Lombardia, 20131, Italia",45.4902921,9.2224905,0,-1,0.-1
Teatri,05-05-19,03-05-19,"Via Giacomo Watt, 32, Milano, MI",fACTORy32,Otello,https://www.milanotoday.it/eventi/otello-carlo-decio-2019.html,Teatro e spettacolo,"32, Via Giacomo Watt, San Cristoforo, Municipio 6, Milano, Lombardia, 20143, Italia",45.4436684,9.1508319,0,-1,0.-1
Cibo e Vino,05-05-19,03-05-19,"Piazza Gae Aulenti, Milano, MI",Piazza Gae Aulenti,Pizza Festival: in Gae Aulenti 60 pizzaioli impastano e infornano non stop per 12 ore,https://www.milanotoday.it/eventi/pizza-festival-milano.html,Enogastronomia,"Piazza Gae Aulenti, GARIBALDI REPUBBLICA, Municipio 9, Milano, Lombardia, Italia",45.4834778,9.1902248,0,0,0.0
Cibo e Vino,05-05-19,03-05-19,"Piazza Leonardo da Vinci, Milano, MI",,"Cibo di strada, birre artigianali e buona musica: dal 3 al 5 maggio arriva il festival di street food in piazza Leonardo Da Vinci",https://www.milanotoday.it/eventi/cibo-birre-food-festival-piazza-leonardo-da-vinci.html,Enogastronomia,"Piazza Leonardo da Vinci, Città Studi, Municipio 3, Milano, Lombardia, Italia",45.4781421,9.2248047,0,6,0.6
,05-05-19,03-05-19,"Piazza Duca d'Aosta, Milano, MI",Piazza Duca D’Aosta (Stazione Centrale),International Pizza Festival,https://www.milanotoday.it/eventi/international-pizza-festival-milano.html,Non classificato,"Piazza Duca d'Aosta, Centrale, Municipio 2, Milano, Lombardia, 20124, Italia",45.4848412,9.2032441,0,4,0.4
,05-05-19,03-05-19,"Via Lazzaro Spallanzani, Milano, MI",Via Spallanzani (Porta Venezia),International World Beer Festival,https://www.milanotoday.it/eventi/international-world-beer-festival-milano.html,Non classificato,"Via Lazzaro Spallanzani, Buenos Aires - Venezia, Municipio 3, Milano, Lombardia, 20219, Italia",45.4753108,9.2063312,0,0,0.0
Cibo e Vino,08-05-19,03-05-19,"Via Friuli, 10, Milano, MI",Mercato di Porta Romana,"Gare ai fornelli, laboratori didattici e prodotti freschi di oltre 30 aziende agricole: le iniziative del mercato di Porta Romana durante Milano Food City",https://www.milanotoday.it/eventi/mercato-porta-romana-food-city.html,Enogastronomia,"10, Via Friuli, Porta Romana, Municipio 4, Milano, Lombardia, 20135, Italia",45.4494805,9.2095328,0,3,0.3
Manifestazioni,05-05-19,03-05-19,"Via Giovanni Battista Piranesi, 14, Milano, MI",Palazzo del Ghiaccio,"""Moard"", il Salone del Moto Design debutta a Milano a Palazzo del Ghiaccio dal 3 al 5 maggio",https://www.milanotoday.it/eventi/moard-salone-moto-design-palazzo-ghiaccio.html,Altri eventi,"Via Giovanni Battista Piranesi, Corsica, Municipio 4, Milano, Lombardia, 20135, Italia",45.4606845,9.2245794,0,10,0.10
Cibo e Vino,05-05-19,04-05-19,"Piazza Castello, Milano, MI",Castello Sforzesco,“Gelato Festival 2019”: il 4 e il 5 maggio al Castello Sforzesco,https://www.milanotoday.it/eventi/gelato-festival-2019-piazza-castello-4-5-maggio.html,Enogastronomia,"Piazza Castello, Cerchia dei Navigli, Municipio 1, Milano, Lombardia, Italia",45.4704699,9.1819129,0,0,0.0
Cibo e Vino,05-05-19,04-05-19,"Piazza San Carlo, Milano, MI",In strada,"Cesvi, biscotti in piazza contro il maltrattamento dei bambini",https://www.milanotoday.it/eventi/biscotti-piazza-san-carlo-bambini.html,Enogastronomia,"Piazza San Carlo, Duomo, Municipio 1, Milano, Lombardia, 20122, Italia",45.4659452,9.196413,0,0,0.0
